group,parameter,coeff
het_black_female,age,0.000418780547352727
het_black_female,age',0.000919342746872599
het_black_female,age'',-0.011897294884885
het_black_female,h1yy,0.004015367151503429
het_black_female,intercept,-7.57692160358902
het_black_female,pre_sqrt,0.912589291095932
het_black_female,pre_sqrt',0.20140416213653603
het_black_female,pre_sqrt'',-0.818083835752136
het_black_female,sqrtcd4,-0.0310400128083532
het_black_female,sqrtcd4',0.00467035132824029
het_black_female,sqrtcd4'',0.0827862926882743
het_black_female,sqrtcd4_post,0.0300777354293328
het_black_female,sqrtcd4_post',-0.0341036573817918
het_black_female,sqrtcd4_post'',0.0779524840769221
het_black_male,age,0.00395622798974499
het_black_male,age',-0.008059954143038691
het_black_male,age'',0.0251999753786378
het_black_male,h1yy,-0.0041383981430236
het_black_male,intercept,8.586021457475361
het_black_male,pre_sqrt,0.926859907673881
het_black_male,pre_sqrt',-0.0678060653894607
het_black_male,pre_sqrt'',0.18020436783315197
het_black_male,sqrtcd4,-0.0234752562556792
het_black_male,sqrtcd4',-0.00843682682601588
het_black_male,sqrtcd4'',0.0726356987338875
het_black_male,sqrtcd4_post,0.0282575813850153
het_black_male,sqrtcd4_post',-0.0239044064952582
het_black_male,sqrtcd4_post'',0.0529301549591455
het_hisp_female,age,0.00657238269837294
het_hisp_female,age',-0.026387077881332002
het_hisp_female,age'',0.0738124788448244
het_hisp_female,h1yy,0.00745096435304301
het_hisp_female,intercept,-14.4980477712605
het_hisp_female,pre_sqrt,0.8528910656499991
het_hisp_female,pre_sqrt',0.102761818106112
het_hisp_female,pre_sqrt'',-0.126317666594877
het_hisp_female,sqrtcd4,-0.0434358977737237
het_hisp_female,sqrtcd4',0.0399122436017796
het_hisp_female,sqrtcd4'',-0.0875370429368047
het_hisp_female,sqrtcd4_post,0.0427936599615082
het_hisp_female,sqrtcd4_post',-0.0578432947412008
het_hisp_female,sqrtcd4_post'',0.138939328568903
het_hisp_male,age,-0.0022275794499540197
het_hisp_male,age',0.007499133245878129
het_hisp_male,age'',-0.0154260485421456
het_hisp_male,h1yy,0.0071789890599425294
het_hisp_male,intercept,-13.8432785891219
het_hisp_male,pre_sqrt,0.887786152906857
het_hisp_male,pre_sqrt',0.22138470442299102
het_hisp_male,pre_sqrt'',-0.7355232094794599
het_hisp_male,sqrtcd4,-0.0100883660988094
het_hisp_male,sqrtcd4',-0.0630545489815676
het_hisp_male,sqrtcd4'',0.16172105946761903
het_hisp_male,sqrtcd4_post,0.0320539436166598
het_hisp_male,sqrtcd4_post',-0.0501499338918174
het_hisp_male,sqrtcd4_post'',0.172318172688656
het_white_female,age,0.0128936344770962
het_white_female,age',-0.0301855521500096
het_white_female,age'',0.0666280796294639
het_white_female,h1yy,0.007179287381888509
het_white_female,intercept,-13.7998862403416
het_white_female,pre_sqrt,0.8521843517373221
het_white_female,pre_sqrt',0.33959601520989097
het_white_female,pre_sqrt'',-0.7033875438609021
het_white_female,sqrtcd4,-0.04736167600663901
het_white_female,sqrtcd4',0.0374461980738341
het_white_female,sqrtcd4'',-0.119593064070873
het_white_female,sqrtcd4_post,0.0207523912861488
het_white_female,sqrtcd4_post',-0.0139439547607476
het_white_female,sqrtcd4_post'',0.0299510976849186
het_white_male,age,0.00584939564724781
het_white_male,age',-0.00756632194791853
het_white_male,age'',0.00602624771731754
het_white_male,h1yy,0.0210502641168991
het_white_male,intercept,-41.1008978831965
het_white_male,pre_sqrt,0.7309715351160111
het_white_male,pre_sqrt',0.321617687269635
het_white_male,pre_sqrt'',-0.196327684080481
het_white_male,sqrtcd4,-0.036040478397528
het_white_male,sqrtcd4',0.0210758335554399
het_white_male,sqrtcd4'',0.00219175003141927
het_white_male,sqrtcd4_post,0.022218023625881
het_white_male,sqrtcd4_post',-0.0175816842902612
het_white_male,sqrtcd4_post'',0.00627392536216733
idu_black_female,age,-0.0127458714806051
idu_black_female,age',0.0206050892109774
