group,param,estimate
het_black_female,agecat,-0.006166
het_black_female,anx,0.012816999999999999
het_black_female,bmi_dif1,0.133516
het_black_female,bmi_dif2,-0.13526
het_black_female,bmi_diff,-0.053575
het_black_female,bmi_raw_post,-0.114928
het_black_female,bmi_raw_post1,0.441355
het_black_female,bmi_raw_post2,-1.0263959999999999
het_black_female,ckd,0.34910599999999997
het_black_female,dm,-0.003053
het_black_female,dpr,0.050882
het_black_female,esld,2.422422
het_black_female,h1yy,-0.100962
het_black_female,hcv,0.538061
het_black_female,ht,-0.015969999999999998
het_black_female,intercept,174.324451
het_black_female,lipid,-0.323679
het_black_female,malig,1.58685
het_black_female,mi,0.758999
het_black_female,smoking,0.20246199999999998
het_black_female,sqrtcd4n,-0.009167
het_black_female,year,0.012862
het_black_male,agecat,0.122695
het_black_male,anx,0.999092
het_black_male,bmi_dif1,-0.404805
het_black_male,bmi_dif2,1.657259
het_black_male,bmi_diff,-0.057297
het_black_male,bmi_raw_post,-0.232474
het_black_male,bmi_raw_post1,0.9215209999999999
het_black_male,bmi_raw_post2,-2.379218
het_black_male,ckd,1.01926
het_black_male,dm,1.4329049999999999
het_black_male,dpr,-0.50026
het_black_male,esld,2.4650689999999997
het_black_male,h1yy,-0.080332
het_black_male,hcv,0.458139
het_black_male,ht,-0.472419
het_black_male,intercept,-182.209356
het_black_male,lipid,-0.09110700000000001
het_black_male,malig,1.6199620000000001
het_black_male,mi,1.678103
het_black_male,smoking,0.651768
het_black_male,sqrtcd4n,-0.038593
het_black_male,year,0.170413
het_hisp_female,agecat,-0.006166
het_hisp_female,anx,0.012816999999999999
het_hisp_female,bmi_dif1,0.133516
het_hisp_female,bmi_dif2,-0.13526
het_hisp_female,bmi_diff,-0.053575
het_hisp_female,bmi_raw_post,-0.114928
het_hisp_female,bmi_raw_post1,0.441355
het_hisp_female,bmi_raw_post2,-1.0263959999999999
het_hisp_female,ckd,0.34910599999999997
het_hisp_female,dm,-0.003053
het_hisp_female,dpr,0.050882
het_hisp_female,esld,2.422422
het_hisp_female,h1yy,-0.100962
het_hisp_female,hcv,0.538061
het_hisp_female,ht,-0.015969999999999998
het_hisp_female,intercept,174.324451
het_hisp_female,lipid,-0.323679
het_hisp_female,malig,1.58685
het_hisp_female,mi,0.758999
het_hisp_female,smoking,0.20246199999999998
het_hisp_female,sqrtcd4n,-0.009167
het_hisp_female,year,0.012862
het_hisp_male,agecat,0.122695
het_hisp_male,anx,0.999092
het_hisp_male,bmi_dif1,-0.404805
het_hisp_male,bmi_dif2,1.657259
het_hisp_male,bmi_diff,-0.057297
het_hisp_male,bmi_raw_post,-0.232474
het_hisp_male,bmi_raw_post1,0.9215209999999999
het_hisp_male,bmi_raw_post2,-2.379218
het_hisp_male,ckd,1.01926
het_hisp_male,dm,1.4329049999999999
