group,param,estimate
het_black_female,agecat,0.246858
het_black_female,anx,0.033604
het_black_female,bmi_dif1,0.283906
het_black_female,bmi_dif2,-0.721258
het_black_female,bmi_diff,-0.1023
het_black_female,bmi_raw_post,-0.083468
het_black_female,bmi_raw_post1,0.356825
het_black_female,bmi_raw_post2,-0.831865
het_black_female,ckd,0.118959
het_black_female,dm,0.053198
het_black_female,dpr,0.20646399999999998
het_black_female,esld,2.416665
het_black_female,hcv,0.6438520000000001
het_black_female,ht,0.198184
het_black_female,intercept,-56.032862
het_black_female,lipid,0.177678
het_black_female,malig,1.637537
het_black_female,mi,0.690956
het_black_female,smoking,0.395986
het_black_female,tv_sqrtcd4n,-0.152564
het_black_female,year,0.02685
het_black_male,agecat,0.252176
het_black_male,anx,1.257838
het_black_male,bmi_dif1,-0.390165
het_black_male,bmi_dif2,1.688229
het_black_male,bmi_diff,-0.067522
het_black_male,bmi_raw_post,-0.202846
het_black_male,bmi_raw_post1,0.814814
het_black_male,bmi_raw_post2,-2.078035
het_black_male,ckd,1.01537
het_black_male,dm,1.2734299999999998
het_black_male,dpr,-0.34129699999999996
het_black_male,esld,1.8631400000000002
het_black_male,hcv,0.665172
het_black_male,ht,-0.449643
het_black_male,intercept,-304.719674
het_black_male,lipid,0.427367
het_black_male,malig,1.523247
het_black_male,mi,2.022487
het_black_male,smoking,0.72383
het_black_male,tv_sqrtcd4n,-0.11732200000000001
het_black_male,year,0.151304
het_hisp_female,agecat,0.246858
het_hisp_female,anx,0.033604
het_hisp_female,bmi_dif1,0.283906
het_hisp_female,bmi_dif2,-0.721258
het_hisp_female,bmi_diff,-0.1023
het_hisp_female,bmi_raw_post,-0.083468
het_hisp_female,bmi_raw_post1,0.356825
het_hisp_female,bmi_raw_post2,-0.831865
het_hisp_female,ckd,0.118959
het_hisp_female,dm,0.053198
het_hisp_female,dpr,0.20646399999999998
het_hisp_female,esld,2.416665
het_hisp_female,hcv,0.6438520000000001
het_hisp_female,ht,0.198184
het_hisp_female,intercept,-56.032862
het_hisp_female,lipid,0.177678
het_hisp_female,malig,1.637537
het_hisp_female,mi,0.690956
het_hisp_female,smoking,0.395986
het_hisp_female,tv_sqrtcd4n,-0.152564
het_hisp_female,year,0.02685
het_hisp_male,agecat,0.252176
het_hisp_male,anx,1.257838
het_hisp_male,bmi_dif1,-0.390165
het_hisp_male,bmi_dif2,1.688229
het_hisp_male,bmi_diff,-0.067522
het_hisp_male,bmi_raw_post,-0.202846
het_hisp_male,bmi_raw_post1,0.814814
het_hisp_male,bmi_raw_post2,-2.078035
het_hisp_male,ckd,1.01537
het_hisp_male,dm,1.2734299999999998
het_hisp_male,dpr,-0.34129699999999996
het_hisp_male,esld,1.8631400000000002
het_hisp_male,hcv,0.665172
het_hisp_male,ht,-0.449643
het_hisp_male,intercept,-304.719674
het_hisp_male,lipid,0.427367
het_hisp_male,malig,1.523247
het_hisp_male,mi,2.022487
het_hisp_male,smoking,0.72383
het_hisp_male,tv_sqrtcd4n,-0.11732200000000001
het_hisp_male,year,0.151304
het_white_female,agecat,0.246858
het_white_female,anx,0.033604
het_white_female,bmi_dif1,0.283906
het_white_female,bmi_dif2,-0.721258
het_white_female,bmi_diff,-0.1023
het_white_female,bmi_raw_post,-0.083468
het_white_female,bmi_raw_post1,0.356825
het_white_female,bmi_raw_post2,-0.831865
het_white_female,ckd,0.118959
het_white_female,dm,0.053198
het_white_female,dpr,0.20646399999999998
het_white_female,esld,2.416665
het_white_female,hcv,0.6438520000000001
het_white_female,ht,0.198184
het_white_female,intercept,-56.032862
het_white_female,lipid,0.177678
het_white_female,malig,1.637537
het_white_female,mi,0.690956
het_white_female,smoking,0.395986
het_white_female,tv_sqrtcd4n,-0.152564
het_white_female,year,0.02685
het_white_male,agecat,0.252176
het_white_male,anx,1.257838
het_white_male,bmi_dif1,-0.390165
het_white_male,bmi_dif2,1.688229
het_white_male,bmi_diff,-0.067522
het_white_male,bmi_raw_post,-0.202846
het_white_male,bmi_raw_post1,0.814814
het_white_male,bmi_raw_post2,-2.078035
het_white_male,ckd,1.01537
het_white_male,dm,1.2734299999999998
het_white_male,dpr,-0.34129699999999996
het_white_male,esld,1.8631400000000002
het_white_male,hcv,0.665172
het_white_male,ht,-0.449643
het_white_male,intercept,-304.719674
het_white_male,lipid,0.427367
het_white_male,malig,1.523247
het_white_male,mi,2.022487
het_white_male,smoking,0.72383
het_white_male,tv_sqrtcd4n,-0.11732200000000001
het_white_male,year,0.151304
idu_black_female,agecat,0.246858
idu_black_female,anx,0.033604
idu_black_female,bmi_dif1,0.283906
idu_black_female,bmi_dif2,-0.721258
idu_black_female,bmi_diff,-0.1023
idu_black_female,bmi_raw_post,-0.083468
idu_black_female,bmi_raw_post1,0.356825
idu_black_female,bmi_raw_post2,-0.831865
idu_black_female,ckd,0.118959
idu_black_female,dm,0.053198
idu_black_female,dpr,0.20646399999999998
idu_black_female,esld,2.416665
idu_black_female,hcv,0.6438520000000001
idu_black_female,ht,0.198184
idu_black_female,intercept,-56.032862
idu_black_female,lipid,0.177678
idu_black_female,malig,1.637537
idu_black_female,mi,0.690956
idu_black_female,smoking,0.395986
idu_black_female,tv_sqrtcd4n,-0.152564
idu_black_female,year,0.02685
idu_black_male,agecat,0.526922
idu_black_male,anx,1.118588
idu_black_male,bmi_dif1,0.057035
idu_black_male,bmi_dif2,-0.030636
idu_black_male,bmi_diff,-0.116868
idu_black_male,bmi_raw_post,-0.055358000000000004
idu_black_male,bmi_raw_post1,0.0449
idu_black_male,bmi_raw_post2,0.128307
idu_black_male,ckd,0.47533500000000006
idu_black_male,dm,0.256598
idu_black_male,dpr,0.031501999999999995
idu_black_male,esld,2.412851
idu_black_male,hcv,0.41829399999999994
idu_black_male,ht,0.17564000000000002
idu_black_male,intercept,141.18061699999998
idu_black_male,lipid,0.23269299999999998
idu_black_male,malig,0.574176
idu_black_male,mi,0.7100069999999999
idu_black_male,smoking,0.221958
idu_black_male,tv_sqrtcd4n,-0.11470799999999999
idu_black_male,year,-0.072364
idu_hisp_female,agecat,0.246858
idu_hisp_female,anx,0.033604
