group,p5,p35,p65,p95
het_black_female,19.35,25.4,30.85,44.85
het_black_male,19.9,24.4,28.2,36.15
het_hisp_female,19.35,25.4,30.85,44.85
het_hisp_male,19.9,24.4,28.2,36.15
het_white_female,19.35,25.4,30.85,44.85
het_white_male,19.9,24.4,28.2,36.15
idu_black_female,19.35,25.4,30.85,44.85
idu_black_male,20.1,23.5,26.4,33.5
idu_hisp_female,19.35,25.4,30.85,44.85
idu_hisp_male,20.1,23.5,26.4,33.5
idu_white_female,19.35,25.4,30.85,44.85
idu_white_male,20.1,23.5,26.4,33.5
msm_black_male,19.3,23.5,27.2,36.05
msm_hisp_male,20.0,23.95,26.85,34.3
msm_white_male,20.0,23.95,26.85,34.3
