group,param,estimate
het_black_female,age,-0.0054789999999999995
het_black_female,cd4n_entry,-0.000144
het_black_female,dpr,1.048646
het_black_female,h1yy_time,-0.049667
het_black_female,hcv,0.20600900000000003
het_black_female,intercept,-220.63162200000002
het_black_female,outcare,0.740544
het_black_female,smoking,0.24657300000000001
het_black_female,year,0.107556
het_black_male,age,-0.008872
het_black_male,cd4n_entry,0.000328
het_black_male,dpr,1.296812
het_black_male,h1yy_time,-0.079294
het_black_male,hcv,0.362873
het_black_male,intercept,49.887440000000005
het_black_male,outcare,-0.041145999999999995
het_black_male,smoking,0.201871
het_black_male,year,-0.026885000000000003
het_hisp_female,age,-0.021343
het_hisp_female,cd4n_entry,-0.00014
het_hisp_female,dpr,1.245585
het_hisp_female,h1yy_time,-0.118095
het_hisp_female,hcv,0.8150609999999999
het_hisp_female,intercept,-431.933774
het_hisp_female,outcare,0.720511
het_hisp_female,smoking,0.059972000000000004
het_hisp_female,year,0.213315
het_hisp_male,age,-0.015296
het_hisp_male,cd4n_entry,0.000386
het_hisp_male,dpr,1.470823
het_hisp_male,h1yy_time,-0.088062
het_hisp_male,hcv,0.463524
het_hisp_male,intercept,-217.87419900000003
het_hisp_male,outcare,0.414538
het_hisp_male,smoking,0.531587
het_hisp_male,year,0.106379
het_white_female,age,-9.848200000000001e-05
het_white_female,cd4n_entry,-0.000376
het_white_female,dpr,1.142227
het_white_female,h1yy_time,-0.10977200000000001
het_white_female,hcv,0.353132
het_white_female,intercept,-79.900253
het_white_female,outcare,-0.055562
het_white_female,smoking,0.360548
het_white_female,year,0.038152
het_white_male,age,-0.015296
het_white_male,cd4n_entry,0.000386
het_white_male,dpr,1.470823
het_white_male,h1yy_time,-0.088062
het_white_male,hcv,0.463524
het_white_male,intercept,-217.87419900000003
het_white_male,outcare,0.414538
het_white_male,smoking,0.531587
het_white_male,year,0.106379
idu_black_female,age,-0.013269
idu_black_female,cd4n_entry,-0.000301
idu_black_female,dpr,0.203199
idu_black_female,h1yy_time,-0.054586
idu_black_female,hcv,-0.10829200000000001
idu_black_female,intercept,-79.730902
idu_black_female,outcare,-0.899194
idu_black_female,smoking,0.372044
idu_black_female,year,0.038383999999999995
idu_black_male,age,-0.045516
idu_black_male,cd4n_entry,0.00041600000000000003
idu_black_male,dpr,0.545975
idu_black_male,h1yy_time,-0.008112000000000001
idu_black_male,hcv,0.096079
idu_black_male,intercept,-133.984894
idu_black_male,outcare,0.449679
idu_black_male,smoking,-0.026889
idu_black_male,year,0.065807
idu_hisp_female,age,-0.033073000000000005
idu_hisp_female,cd4n_entry,-0.000261
idu_hisp_female,dpr,0.5061720000000001
idu_hisp_female,h1yy_time,-0.072
idu_hisp_female,hcv,-0.011694
idu_hisp_female,intercept,-115.71203
idu_hisp_female,outcare,0.518667
idu_hisp_female,smoking,0.389743
idu_hisp_female,year,0.056866
idu_hisp_male,age,-0.029631
idu_hisp_male,cd4n_entry,0.0008710000000000001
idu_hisp_male,dpr,1.057356
idu_hisp_male,h1yy_time,-0.01395
idu_hisp_male,hcv,0.054285
idu_hisp_male,intercept,-281.390483
idu_hisp_male,outcare,0.375648
idu_hisp_male,smoking,0.037922000000000004
idu_hisp_male,year,0.13872
idu_white_female,age,-0.033073000000000005
idu_white_female,cd4n_entry,-0.000261
idu_white_female,dpr,0.5061720000000001
idu_white_female,h1yy_time,-0.072
idu_white_female,hcv,-0.011694
idu_white_female,intercept,-115.71203
idu_white_female,outcare,0.518667
idu_white_female,smoking,0.389743
idu_white_female,year,0.056866
idu_white_male,age,-0.024469
idu_white_male,cd4n_entry,0.000535
idu_white_male,dpr,0.466873
idu_white_male,h1yy_time,-0.034999
idu_white_male,hcv,0.22439699999999999
idu_white_male,intercept,-112.246766
idu_white_male,outcare,-0.043935
idu_white_male,smoking,0.132395
idu_white_male,year,0.05472899999999999
msm_black_male,age,-0.014367
msm_black_male,cd4n_entry,0.000331
msm_black_male,dpr,1.090626
msm_black_male,h1yy_time,-0.041289
msm_black_male,hcv,0.265031
msm_black_male,intercept,-16.320176
msm_black_male,outcare,0.512253
msm_black_male,smoking,0.259556
msm_black_male,year,0.006189
msm_hisp_male,age,-0.006275
msm_hisp_male,cd4n_entry,0.000533
msm_hisp_male,dpr,1.175174
msm_hisp_male,h1yy_time,-0.0697
msm_hisp_male,hcv,0.268754
msm_hisp_male,intercept,-65.294514
msm_hisp_male,outcare,0.024713
msm_hisp_male,smoking,0.157493
msm_hisp_male,year,0.030958
msm_white_male,age,-0.015659
msm_white_male,cd4n_entry,0.000397
msm_white_male,dpr,0.985274
msm_white_male,h1yy_time,-0.038893000000000004
msm_white_male,hcv,0.11786400000000001
msm_white_male,intercept,-25.842177
msm_white_male,outcare,0.32313400000000003
msm_white_male,smoking,0.284254
msm_white_male,year,0.011392
