group,mortality_age_group,p
msm_hisp_male,0,0.0005682344341397769
msm_hisp_male,1,0.00116088426373395
msm_hisp_male,2,0.00126943353395361
msm_hisp_male,3,0.0013046662896517799
msm_hisp_male,4,0.00157450964440961
msm_hisp_male,5,0.0019111309769403602
msm_hisp_male,6,0.00278423912928866
msm_hisp_male,7,0.004276415840379581
msm_hisp_male,8,0.0066121856189201795
msm_hisp_male,9,0.009884221502726132
msm_hisp_male,10,0.0139555209987648
msm_hisp_male,11,0.020702577051020004
msm_hisp_male,12,0.0324163341669689
msm_hisp_male,13,0.053284329370462
msm_black_male,0,0.00117420117606795
msm_black_male,1,0.00206511894091856
msm_black_male,2,0.00241500084958042
msm_black_male,3,0.0028401764506277597
msm_black_male,4,0.0034333622935300806
msm_black_male,5,0.00440376392635305
msm_black_male,6,0.00591396506417204
msm_black_male,7,0.008810019625519491
msm_black_male,8,0.0135798011968611
msm_black_male,9,0.0204095652364737
msm_black_male,10,0.0287476188938753
msm_black_male,11,0.037202404002540296
msm_black_male,12,0.053519928722879105
msm_black_male,13,0.07784334203655349
msm_white_male,0,0.000625433292316125
msm_white_male,1,0.00122067185468377
msm_white_male,2,0.0016601175081005799
msm_white_male,3,0.0020275468771098998
msm_white_male,4,0.00241514912171574
msm_white_male,5,0.0028474677112175903
msm_white_male,6,0.0039978461509394695
msm_white_male,7,0.006015613364554911
msm_white_male,8,0.009209175596079961
msm_white_male,9,0.013157641283901001
msm_white_male,10,0.018143154948204
msm_white_male,11,0.026489813590124697
msm_white_male,12,0.042027237959905796
msm_white_male,13,0.06953982360058128
het_hisp_female,0,0.00024247158548928598
het_hisp_female,1,0.000347407154799264
het_hisp_female,2,0.000444076190786448
het_hisp_female,3,0.000565457635672723
het_hisp_female,4,0.0007269710914169631
het_hisp_female,5,0.0009447535151483258
het_hisp_female,6,0.00141296202222009
het_hisp_female,7,0.0022903005279043998
het_hisp_female,8,0.0035532710763303797
het_hisp_female,9,0.0053455069729646
het_hisp_female,10,0.00824477133279566
het_hisp_female,11,0.013030370737362301
het_hisp_female,12,0.0216769951862768
het_hisp_female,13,0.0382484215663349
het_hisp_male,0,0.0005682344341397769
het_hisp_male,1,0.00116088426373395
het_hisp_male,2,0.00126943353395361
het_hisp_male,3,0.0013046662896517799
het_hisp_male,4,0.00157450964440961
het_hisp_male,5,0.0019111309769403602
het_hisp_male,6,0.00278423912928866
het_hisp_male,7,0.004276415840379581
het_hisp_male,8,0.0066121856189201795
het_hisp_male,9,0.009884221502726132
het_hisp_male,10,0.0139555209987648
het_hisp_male,11,0.020702577051020004
het_hisp_male,12,0.0324163341669689
het_hisp_male,13,0.053284329370462
het_black_female,0,0.000365062317228247
het_black_female,1,0.000642586703566721
het_black_female,2,0.0009375704006042858
het_black_female,3,0.0013046310205235701
het_black_female,4,0.0018316538154212298
het_black_female,5,0.00254632653648665
het_black_female,6,0.0036369477500605898
het_black_female,7,0.00549295263289407
het_black_female,8,0.008286202445828401
het_black_female,9,0.012042465660862402
het_black_female,10,0.0165336583361536
het_black_female,11,0.023402909550917103
het_black_female,12,0.0348363225242818
het_black_female,13,0.05469946067538361
het_black_male,0,0.00117420117606795
het_black_male,1,0.00206511894091856
het_black_male,2,0.00241500084958042
het_black_male,3,0.0028401764506277597
het_black_male,4,0.0034333622935300806
het_black_male,5,0.00440376392635305
het_black_male,6,0.00591396506417204
het_black_male,7,0.008810019625519491
het_black_male,8,0.0135798011968611
het_black_male,9,0.0204095652364737
het_black_male,10,0.0287476188938753
het_black_male,11,0.037202404002540296
het_black_male,12,0.053519928722879105
het_black_male,13,0.07784334203655349
het_white_female,0,0.000300620234526627
het_white_female,1,0.000513247201958424
het_white_female,2,0.000732468727476626
het_white_female,3,0.00102382973338998
het_white_female,4,0.0013264575522999
het_white_female,5,0.0017237076134169
het_white_female,6,0.00251822863281348
het_white_female,7,0.0037882443991925094
het_white_female,8,0.005629752072961191
het_white_female,9,0.00787834985488923
het_white_female,10,0.011321795666798199
het_white_female,11,0.0181297750050967
het_white_female,12,0.030082948878667196
het_white_female,13,0.05224366739543979
het_white_male,0,0.000625433292316125
het_white_male,1,0.00122067185468377
het_white_male,2,0.0016601175081005799
het_white_male,3,0.0020275468771098998
het_white_male,4,0.00241514912171574
het_white_male,5,0.0028474677112175903
het_white_male,6,0.0039978461509394695
het_white_male,7,0.006015613364554911
het_white_male,8,0.009209175596079961
het_white_male,9,0.013157641283901001
het_white_male,10,0.018143154948204
het_white_male,11,0.026489813590124697
het_white_male,12,0.042027237959905796
het_white_male,13,0.06953982360058128
idu_hisp_female,0,0.00048494317097857195
idu_hisp_female,1,0.000694814309598528
idu_hisp_female,2,0.000888152381572896
idu_hisp_female,3,0.001130915271345446
idu_hisp_female,4,0.0014539421828339261
idu_hisp_female,5,0.0018895070302966516
