group,age,age1,age2,h1yy_cat_1,h1yy_cat_2,intercept,sqrtcd41,sqrtcd42,sqrtcd4n,year
het_black_female,0.00700224,-0.0036843,0.136341566,-0.240602028,-0.06410089299999999,151.145550913,-0.048594,0.492672699,-0.061203999999999995,-0.077123854
het_black_male,0.0106918,0.023216999999999998,0.00572681,-0.118178541,-0.8579625879999999,38.663285486999996,-0.325530797,1.238469036,0.0447619,-0.02165
het_hisp_female,0.152216088,-0.250085552,0.853295568,0.566240196,-0.49474935700000006,104.024385064,-0.005445899999999999,0.38733348100000003,-0.073420204,-0.056454
het_hisp_male,0.0252992,0.0168492,0.068302177,-0.282589314,0.194270771,136.582842183,0.093545351,-0.5084283620000001,-0.037607999999999996,-0.070567373
het_white_female,0.152216088,-0.250085552,0.853295568,0.566240196,-0.49474935700000006,104.024385064,-0.005445899999999999,0.38733348100000003,-0.073420204,-0.056454
het_white_male,0.0252992,0.0168492,0.068302177,-0.282589314,0.194270771,136.582842183,0.093545351,-0.5084283620000001,-0.037607999999999996,-0.070567373
idu_black_female,0.104654659,-0.122451916,0.6803198640000001,-0.011512999999999999,-0.963272985,60.585564897,-0.512534744,2.7084704310000003,0.217551818,-0.035181
idu_black_male,0.0274173,0.104949396,-0.65132293,-0.118326672,-0.64871902,239.647476355,-0.015441999999999999,0.17772059699999998,-0.026307,-0.12161054800000001
idu_hisp_female,-0.07913851599999999,0.246218192,-1.067159609,-0.085906822,-0.558618739,-120.14369741700001,-0.303537622,1.708178175,0.055151099999999995,0.059315
idu_hisp_male,0.008684,0.092526988,-0.6012210570000001,-0.333148772,0.21595634,160.729140855,-0.036791000000000004,0.169960072,0.00629886,-0.08222265
idu_white_female,-0.07913851599999999,0.246218192,-1.067159609,-0.085906822,-0.558618739,-120.14369741700001,-0.303537622,1.708178175,0.055151099999999995,0.059315
idu_white_male,0.00617338,0.12108759300000001,-0.79161807,-0.339657896,-0.048397,146.911190254,-0.136606415,0.842876583,0.00726148,-0.075205776
msm_black_male,0.0228959,-0.0069437,0.051285199999999996,-0.5392832120000001,-0.43698573,89.81276873899999,-0.03561,0.35265557700000005,-0.054165,-0.047007
msm_hisp_male,-0.008676999999999999,0.194442908,-0.665932326,0.00673776,-0.472091209,50.13555971,-0.156600876,0.7684407320000001,0.018542,-0.027788
msm_white_male,0.0369595,0.0289442,-0.17281154,-0.013656,-0.126271035,127.981440728,-0.163438439,1.008851556,-0.0059105,-0.066672543
