group,1,2,3,4
het_black_female,23.0,35.0,43.0,57.0
het_black_male,26.0,38.0,46.0,60.0
het_hisp_female,23.0,34.0,43.0,58.0
het_hisp_male,26.0,36.0,44.0,60.0
het_white_female,24.0,35.0,44.0,58.0
het_white_male,28.0,40.0,47.0,61.0
idu_black_female,32.0,42.0,48.0,58.0
idu_black_male,34.0,44.0,50.0,59.0
idu_hisp_female,26.0,38.0,45.0,58.0
idu_hisp_male,29.0,42.0,48.0,58.0
idu_white_female,26.0,38.0,45.0,58.0
idu_white_male,28.0,39.0,46.0,58.0
msm_black_male,21.0,30.0,39.0,53.0
msm_hisp_male,23.0,32.0,40.0,53.0
msm_white_male,25.0,37.0,45.0,57.0
