group,1,2,3,4
het_black_female,0.0,3.0,7.0,14.0
het_black_male,0.0,3.0,7.0,14.0
het_hisp_female,0.0,4.0,8.0,14.0
het_hisp_male,0.0,3.0,7.0,14.0
het_white_female,0.0,4.0,10.0,15.0
het_white_male,0.0,4.0,9.0,15.0
idu_black_female,0.0,5.0,10.0,15.0
idu_black_male,1.0,7.0,10.0,15.0
idu_hisp_female,0.0,4.0,9.0,14.0
idu_hisp_male,0.0,5.0,10.0,14.0
idu_white_female,0.0,4.0,9.0,14.0
idu_white_male,0.0,5.0,10.0,15.0
msm_black_male,0.0,2.0,6.0,14.0
msm_hisp_male,0.0,2.0,7.0,14.0
msm_white_male,0.0,4.0,9.0,15.0
