group,1,2,3,4
het_black_female,9.0,20.38381711,25.74878638,34.38022688
het_black_male,7.615773106000001,18.41195264,23.43074903,31.591138
het_hisp_female,9.695359715,20.57911563,25.87469807,33.57826678
het_hisp_male,7.810249676000001,17.80449382,22.82542442,30.71644511
het_white_female,11.44552314,22.14723459,27.34958866,36.29049462
het_white_male,9.643650761,20.11218536,25.41653005,33.67491648
idu_black_female,9.433981132000001,19.92485885,25.92296279,35.15679166
idu_black_male,9.0,18.64135188,23.62202362,31.73326331
idu_hisp_female,9.082951062000001,18.65475811,24.46425965,33.28663395
idu_hisp_male,9.38083152,18.38477631,23.36664289,31.22498999
idu_white_female,9.082951062000001,18.65475811,24.46425965,33.28663395
idu_white_male,10.55935604,19.71040334,24.81934729,33.06055051
msm_black_male,8.972179222000001,19.6468827,24.61706725,32.24903099
msm_hisp_male,11.5758369,20.34698995,24.76893215,31.96873473
msm_white_male,12.76714534,21.67948339,26.07680962,33.45893005
