group,1,2,3,4
het_black_female,23.0,37.0,46.0,60.0
het_black_male,25.0,40.0,49.0,62.0
het_hisp_female,25.0,36.0,46.0,61.0
het_hisp_male,26.0,37.0,47.0,61.0
het_white_female,23.0,35.0,48.0,61.0
het_white_male,25.0,39.0,49.0,64.6
idu_black_female,31.0,46.0,52.0,63.0
idu_black_male,27.0,50.0,55.0,63.0
idu_hisp_female,28.7,40.0,49.0,61.65
idu_hisp_male,27.0,38.15,48.0,61.0
idu_white_female,28.7,40.0,49.0,61.65
idu_white_male,26.0,40.0,50.0,62.65
msm_black_male,21.0,27.0,35.0,53.0
msm_hisp_male,22.0,30.0,39.0,52.64999999999989
msm_white_male,24.0,36.0,46.0,60.0
