group,parameter,coeff
het_black_female,age,0.0009066729747183401
het_black_female,age',-0.00333439632864303
het_black_female,age'',0.00804845442058977
het_black_female,h1yy,0.0038261813048595297
het_black_female,intercept,-6.27314719868245
het_black_male,age,0.00208666483601278
het_black_male,age',-0.0023824491214415
het_black_male,age'',0.00178897967702027
het_black_male,h1yy,0.00192397807959764
het_black_male,intercept,-2.5347567982584
het_hisp_female,age,0.00339874463261151
het_hisp_female,age',-0.00984313449545262
het_hisp_female,age'',0.01917195459276
het_hisp_female,h1yy,0.00973998548466482
het_hisp_female,h1yy',-0.0146535480599571
het_hisp_female,h1yy'',0.12007020610560401
het_hisp_female,intercept,-18.1971397474501
het_hisp_male,age,0.00245391935022572
het_hisp_male,age',-0.00420618183244368
het_hisp_male,age'',0.007850261610747759
het_hisp_male,h1yy,0.00120396412877459
het_hisp_male,intercept,-1.10142058372593
het_white_female,age,-0.000706759169206746
het_white_female,h1yy,0.00122728946597499
het_white_female,intercept,-1.0150029067184498
het_white_male,age,0.000161882112578762
het_white_male,h1yy,0.0014548755155166801
het_white_male,intercept,-1.5315197942515302
idu_black_female,age,-0.00145601362850525
idu_black_female,h1yy,0.00267377452832105
idu_black_female,intercept,-3.88075077783032
idu_black_male,age,0.00213292533653242
idu_black_male,age',-0.0038564691587799705
idu_black_male,age'',0.0181699738785222
idu_black_male,h1yy,0.00253334584709567
idu_black_male,intercept,-3.76391161701279
idu_hisp_female,age,-0.00105391184281881
idu_hisp_female,h1yy,0.00174984708441978
idu_hisp_female,intercept,-2.06887841485093
idu_hisp_male,agecat=30-39,0.0033766931996218803
idu_hisp_male,agecat=40-49,0.0285504074011698
idu_hisp_male,agecat=50-59,0.0148795195414987
idu_hisp_male,agecat=60+,-0.0045818132221012
idu_hisp_male,h1yy,0.00468098341868238
idu_hisp_male,h1yy',-0.0103616606161505
idu_hisp_male,h1yy'',0.0483507537340307
idu_hisp_male,intercept,-7.9992374827849195
idu_white_female,age,-0.00105391184281881
idu_white_female,h1yy,0.00174984708441978
idu_white_female,intercept,-2.06887841485093
idu_white_male,age,0.00161774832237165
idu_white_male,age',-0.00152246629028633
idu_white_male,age'',0.0020801596403587
idu_white_male,h1yy,0.00101858216798614
idu_white_male,h1yy',0.0035706439953641796
idu_white_male,h1yy'',-0.0203162957486393
idu_white_male,intercept,-0.712252046739547
msm_black_male,age,0.00306439916904308
msm_black_male,age',0.000668996471330807
msm_black_male,age'',-0.006732534771645179
msm_black_male,h1yy,0.0019828004341456897
msm_black_male,intercept,-2.68656523841689
msm_hisp_male,age,0.00257189516988882
msm_hisp_male,age',-0.0019393350224224898
msm_hisp_male,age'',0.0012619780868172
msm_hisp_male,h1yy,0.00156969355190099
msm_hisp_male,intercept,-1.8414607994423797
msm_white_male,age,0.0033949765636587604
msm_white_male,age',-0.00365701326952985
msm_white_male,age'',0.0053266640111932
msm_white_male,h1yy,0.0016853510617114
msm_white_male,intercept,-2.10711077438345
