group,param,estimate
het_black_female,agecat,0.11043499999999999
het_black_female,anx,-0.049069
het_black_female,bmi_raw_post,-0.145493
het_black_female,bmi_raw_post1,0.582838
het_black_female,bmi_raw_post2,-1.278565
het_black_female,ckd,0.32183
het_black_female,dm,0.092674
het_black_female,dpr,0.08698
het_black_female,esld,2.3258810000000003
het_black_female,h1yy,-0.012523000000000001
het_black_female,hcv,0.494251
het_black_female,ht,-0.17691500000000002
het_black_female,intercept,132.735455
het_black_female,lipid,-0.276208
het_black_female,malig,1.52437
het_black_female,mi,1.179491
het_black_female,smoking,0.384683
het_black_female,sqrtcd4n,-0.026147000000000004
het_black_female,year,-0.054333000000000006
het_black_male,agecat,0.039886000000000005
het_black_male,anx,0.91795
het_black_male,bmi_raw_post,-0.21923499999999999
het_black_male,bmi_raw_post1,0.6537930000000001
het_black_male,bmi_raw_post2,-1.6435830000000002
het_black_male,ckd,0.85729
het_black_male,dm,1.353639
het_black_male,dpr,-0.56357
het_black_male,esld,2.2522919999999997
het_black_male,h1yy,-0.033748
het_black_male,hcv,0.324783
het_black_male,ht,-0.255868
het_black_male,intercept,48.886646999999996
het_black_male,lipid,7.0235e-05
het_black_male,malig,1.581978
het_black_male,mi,1.479924
het_black_male,smoking,0.654524
het_black_male,sqrtcd4n,-0.014518999999999999
het_black_male,year,0.00911
het_hisp_female,agecat,0.11043499999999999
het_hisp_female,anx,-0.049069
het_hisp_female,bmi_raw_post,-0.145493
het_hisp_female,bmi_raw_post1,0.582838
het_hisp_female,bmi_raw_post2,-1.278565
het_hisp_female,ckd,0.32183
het_hisp_female,dm,0.092674
het_hisp_female,dpr,0.08698
het_hisp_female,esld,2.3258810000000003
het_hisp_female,h1yy,-0.012523000000000001
het_hisp_female,hcv,0.494251
het_hisp_female,ht,-0.17691500000000002
het_hisp_female,intercept,132.735455
het_hisp_female,lipid,-0.276208
het_hisp_female,malig,1.52437
het_hisp_female,mi,1.179491
het_hisp_female,smoking,0.384683
het_hisp_female,sqrtcd4n,-0.026147000000000004
het_hisp_female,year,-0.054333000000000006
het_hisp_male,agecat,0.039886000000000005
het_hisp_male,anx,0.91795
het_hisp_male,bmi_raw_post,-0.21923499999999999
het_hisp_male,bmi_raw_post1,0.6537930000000001
het_hisp_male,bmi_raw_post2,-1.6435830000000002
het_hisp_male,ckd,0.85729
het_hisp_male,dm,1.353639
het_hisp_male,dpr,-0.56357
het_hisp_male,esld,2.2522919999999997
het_hisp_male,h1yy,-0.033748
het_hisp_male,hcv,0.324783
het_hisp_male,ht,-0.255868
het_hisp_male,intercept,48.886646999999996
het_hisp_male,lipid,7.0235e-05
het_hisp_male,malig,1.581978
het_hisp_male,mi,1.479924
het_hisp_male,smoking,0.654524
het_hisp_male,sqrtcd4n,-0.014518999999999999
het_hisp_male,year,0.00911
het_white_female,agecat,0.11043499999999999
het_white_female,anx,-0.049069
het_white_female,bmi_raw_post,-0.145493
het_white_female,bmi_raw_post1,0.582838
het_white_female,bmi_raw_post2,-1.278565
het_white_female,ckd,0.32183
het_white_female,dm,0.092674
het_white_female,dpr,0.08698
het_white_female,esld,2.3258810000000003
het_white_female,h1yy,-0.012523000000000001
het_white_female,hcv,0.494251
het_white_female,ht,-0.17691500000000002
het_white_female,intercept,132.735455
het_white_female,lipid,-0.276208
het_white_female,malig,1.52437
het_white_female,mi,1.179491
het_white_female,smoking,0.384683
het_white_female,sqrtcd4n,-0.026147000000000004
het_white_female,year,-0.054333000000000006
het_white_male,agecat,0.039886000000000005
het_white_male,anx,0.91795
het_white_male,bmi_raw_post,-0.21923499999999999
het_white_male,bmi_raw_post1,0.6537930000000001
het_white_male,bmi_raw_post2,-1.6435830000000002
het_white_male,ckd,0.85729
het_white_male,dm,1.353639
het_white_male,dpr,-0.56357
het_white_male,esld,2.2522919999999997
het_white_male,h1yy,-0.033748
het_white_male,hcv,0.324783
het_white_male,ht,-0.255868
het_white_male,intercept,48.886646999999996
het_white_male,lipid,7.0235e-05
het_white_male,malig,1.581978
het_white_male,mi,1.479924
het_white_male,smoking,0.654524
het_white_male,sqrtcd4n,-0.014518999999999999
het_white_male,year,0.00911
idu_black_female,agecat,0.11043499999999999
idu_black_female,anx,-0.049069
idu_black_female,bmi_raw_post,-0.145493
idu_black_female,bmi_raw_post1,0.582838
idu_black_female,bmi_raw_post2,-1.278565
idu_black_female,ckd,0.32183
idu_black_female,dm,0.092674
idu_black_female,dpr,0.08698
idu_black_female,esld,2.3258810000000003
idu_black_female,h1yy,-0.012523000000000001
idu_black_female,hcv,0.494251
idu_black_female,ht,-0.17691500000000002
idu_black_female,intercept,132.735455
idu_black_female,lipid,-0.276208
idu_black_female,malig,1.52437
idu_black_female,mi,1.179491
idu_black_female,smoking,0.384683
idu_black_female,sqrtcd4n,-0.026147000000000004
idu_black_female,year,-0.054333000000000006
