group,p5,p35,p65,p95
het_black_female,19.7,25.55,30.9,44.25
het_black_male,19.85,24.3,28.05,36.0
het_hisp_female,19.7,25.55,30.9,44.25
het_hisp_male,19.85,24.3,28.05,36.0
het_white_female,19.7,25.55,30.9,44.25
het_white_male,19.85,24.3,28.05,36.0
idu_black_female,19.7,25.55,30.9,44.25
idu_black_male,19.9,23.5,26.6,33.4
idu_hisp_female,19.7,25.55,30.9,44.25
idu_hisp_male,19.9,23.5,26.6,33.4
idu_white_female,19.7,25.55,30.9,44.25
idu_white_male,19.9,23.5,26.6,33.4
msm_black_male,19.7,23.7,26.85,34.7
msm_hisp_male,19.7,23.7,26.85,34.7
msm_white_male,19.7,23.7,26.85,34.7
