group,param,estimate
het_black_female,agecat,0.271536
het_black_female,anx,-0.040609
het_black_female,bmi_raw_post,-0.114601
het_black_female,bmi_raw_post1,0.482206
het_black_female,bmi_raw_post2,-1.02902
het_black_female,ckd,0.208193
het_black_female,dm,0.130472
het_black_female,dpr,0.13436199999999998
het_black_female,esld,2.2124509999999997
het_black_female,hcv,0.530249
het_black_female,ht,-0.08063
het_black_female,intercept,32.881129
het_black_female,lipid,0.06554199999999999
het_black_female,malig,1.530346
het_black_female,mi,1.061404
het_black_female,smoking,0.525171
het_black_female,tv_sqrtcd4n,-0.14309000000000002
het_black_female,year,-0.016891
het_black_male,agecat,0.13947
het_black_male,anx,1.175409
het_black_male,bmi_raw_post,-0.19073900000000002
het_black_male,bmi_raw_post1,0.631012
het_black_male,bmi_raw_post2,-1.617322
het_black_male,ckd,0.8225959999999999
het_black_male,dm,1.127836
het_black_male,dpr,-0.448118
het_black_male,esld,1.82391
het_black_male,hcv,0.386491
het_black_male,ht,-0.178697
het_black_male,intercept,-18.001002
het_black_male,lipid,0.29925300000000005
het_black_male,malig,1.485902
het_black_male,mi,1.731049
het_black_male,smoking,0.6953739999999999
het_black_male,tv_sqrtcd4n,-0.10130800000000001
het_black_male,year,0.008896
het_hisp_female,agecat,0.271536
het_hisp_female,anx,-0.040609
het_hisp_female,bmi_raw_post,-0.114601
het_hisp_female,bmi_raw_post1,0.482206
het_hisp_female,bmi_raw_post2,-1.02902
het_hisp_female,ckd,0.208193
het_hisp_female,dm,0.130472
het_hisp_female,dpr,0.13436199999999998
het_hisp_female,esld,2.2124509999999997
het_hisp_female,hcv,0.530249
het_hisp_female,ht,-0.08063
het_hisp_female,intercept,32.881129
het_hisp_female,lipid,0.06554199999999999
het_hisp_female,malig,1.530346
het_hisp_female,mi,1.061404
het_hisp_female,smoking,0.525171
het_hisp_female,tv_sqrtcd4n,-0.14309000000000002
het_hisp_female,year,-0.016891
het_hisp_male,agecat,0.13947
het_hisp_male,anx,1.175409
het_hisp_male,bmi_raw_post,-0.19073900000000002
het_hisp_male,bmi_raw_post1,0.631012
het_hisp_male,bmi_raw_post2,-1.617322
het_hisp_male,ckd,0.8225959999999999
het_hisp_male,dm,1.127836
het_hisp_male,dpr,-0.448118
het_hisp_male,esld,1.82391
het_hisp_male,hcv,0.386491
het_hisp_male,ht,-0.178697
het_hisp_male,intercept,-18.001002
het_hisp_male,lipid,0.29925300000000005
het_hisp_male,malig,1.485902
het_hisp_male,mi,1.731049
het_hisp_male,smoking,0.6953739999999999
het_hisp_male,tv_sqrtcd4n,-0.10130800000000001
het_hisp_male,year,0.008896
het_white_female,agecat,0.271536
het_white_female,anx,-0.040609
het_white_female,bmi_raw_post,-0.114601
het_white_female,bmi_raw_post1,0.482206
het_white_female,bmi_raw_post2,-1.02902
het_white_female,ckd,0.208193
het_white_female,dm,0.130472
het_white_female,dpr,0.13436199999999998
het_white_female,esld,2.2124509999999997
het_white_female,hcv,0.530249
het_white_female,ht,-0.08063
het_white_female,intercept,32.881129
het_white_female,lipid,0.06554199999999999
het_white_female,malig,1.530346
het_white_female,mi,1.061404
het_white_female,smoking,0.525171
het_white_female,tv_sqrtcd4n,-0.14309000000000002
het_white_female,year,-0.016891
het_white_male,agecat,0.13947
het_white_male,anx,1.175409
het_white_male,bmi_raw_post,-0.19073900000000002
het_white_male,bmi_raw_post1,0.631012
