group,param,estimate
het_black_female,age,-0.010849
het_black_female,anx,0.41454300000000005
het_black_female,cd4n_entry,-0.00025699999999999996
het_black_female,h1yy_time,-0.063503
het_black_female,hcv,-0.16892200000000002
het_black_female,intercept,206.270401
het_black_female,outcare,-0.021485
het_black_female,smoking,0.425612
het_black_female,year,-0.10369300000000001
het_black_male,age,-0.012387
het_black_male,anx,0.9454379999999999
het_black_male,cd4n_entry,0.000584
het_black_male,h1yy_time,-0.029376999999999997
het_black_male,hcv,-0.210781
het_black_male,intercept,31.67731
het_black_male,outcare,-0.010095999999999999
het_black_male,smoking,0.585511
het_black_male,year,-0.017447
het_hisp_female,age,0.007885
het_hisp_female,anx,0.7060850000000001
het_hisp_female,cd4n_entry,0.000131
het_hisp_female,h1yy_time,-0.12625
het_hisp_female,hcv,-0.45453999999999994
het_hisp_female,intercept,73.647559
het_hisp_female,outcare,0.40524099999999996
het_hisp_female,smoking,-0.315416
het_hisp_female,year,-0.037777
het_hisp_male,age,-0.013336
het_hisp_male,anx,2.1583200000000002
het_hisp_male,cd4n_entry,-0.00091
het_hisp_male,h1yy_time,-0.062448000000000004
het_hisp_male,hcv,0.449508
het_hisp_male,intercept,214.764369
het_hisp_male,outcare,0.22434099999999998
het_hisp_male,smoking,0.24057800000000001
het_hisp_male,year,-0.107923
het_white_female,age,0.007932
het_white_female,anx,0.9506469999999999
het_white_female,cd4n_entry,-0.00047999999999999996
het_white_female,h1yy_time,-0.017882
het_white_female,hcv,-0.8544700000000001
het_white_female,intercept,-25.632033
het_white_female,outcare,0.9466680000000001
het_white_female,smoking,0.369728
het_white_female,year,0.010753
het_white_male,age,-0.014190000000000001
het_white_male,anx,1.096911
het_white_male,cd4n_entry,9.455e-05
het_white_male,h1yy_time,-0.058507
het_white_male,hcv,0.017036000000000003
het_white_male,intercept,195.358281
het_white_male,outcare,-0.280735
het_white_male,smoking,0.1223
het_white_male,year,-0.098467
idu_black_female,age,-0.027032999999999998
idu_black_female,anx,0.161418
idu_black_female,cd4n_entry,-0.00032900000000000003
idu_black_female,h1yy_time,-0.08061900000000001
idu_black_female,hcv,-0.28369099999999997
idu_black_female,intercept,167.21938500000002
idu_black_female,outcare,0.24766
idu_black_female,smoking,-0.060501
idu_black_female,year,-0.083656
idu_black_male,age,-0.021131
idu_black_male,anx,0.22986900000000002
idu_black_male,cd4n_entry,0.00035299999999999996
idu_black_male,h1yy_time,-0.055140999999999996
idu_black_male,hcv,0.282159
idu_black_male,intercept,-2.288561
idu_black_male,outcare,0.238357
idu_black_male,smoking,0.331703
idu_black_male,year,-0.000145
idu_hisp_female,age,-0.027032999999999998
idu_hisp_female,anx,0.161418
idu_hisp_female,cd4n_entry,-0.00032900000000000003
idu_hisp_female,h1yy_time,-0.08061900000000001
idu_hisp_female,hcv,-0.28369099999999997
idu_hisp_female,intercept,167.21938500000002
idu_hisp_female,outcare,0.24766
idu_hisp_female,smoking,-0.060501
idu_hisp_female,year,-0.083656
idu_hisp_male,age,-0.017596
idu_hisp_male,anx,0.720517
idu_hisp_male,cd4n_entry,-0.001046
idu_hisp_male,h1yy_time,-0.144288
idu_hisp_male,hcv,0.331839
idu_hisp_male,intercept,-0.281775
idu_hisp_male,outcare,-0.162695
idu_hisp_male,smoking,0.489359
idu_hisp_male,year,-0.000816
idu_white_female,age,-0.027032999999999998
idu_white_female,anx,0.161418
idu_white_female,cd4n_entry,-0.00032900000000000003
idu_white_female,h1yy_time,-0.08061900000000001
idu_white_female,hcv,-0.28369099999999997
idu_white_female,intercept,167.21938500000002
idu_white_female,outcare,0.24766
idu_white_female,smoking,-0.060501
idu_white_female,year,-0.083656
idu_white_male,age,-0.013772999999999999
idu_white_male,anx,0.177241
idu_white_male,cd4n_entry,0.000152
idu_white_male,h1yy_time,-0.117782
idu_white_male,hcv,0.132847
idu_white_male,intercept,-43.429087
idu_white_male,outcare,0.393599
idu_white_male,smoking,0.052108
idu_white_male,year,0.020513999999999998
msm_black_male,age,-0.005828
msm_black_male,anx,1.0051700000000001
msm_black_male,cd4n_entry,-2.1490999999999998e-05
msm_black_male,h1yy_time,-0.065626
msm_black_male,hcv,0.46275
msm_black_male,intercept,104.877403
msm_black_male,outcare,0.296295
msm_black_male,smoking,0.375636
msm_black_male,year,-0.05363
msm_hisp_male,age,-0.018428
msm_hisp_male,anx,1.106531
msm_hisp_male,cd4n_entry,0.0002
msm_hisp_male,h1yy_time,-0.039211
msm_hisp_male,hcv,0.269225
msm_hisp_male,intercept,49.229428999999996
msm_hisp_male,outcare,-0.128697
msm_hisp_male,smoking,0.119282
msm_hisp_male,year,-0.025511000000000002
msm_white_male,age,-0.006957
msm_white_male,anx,0.8212950000000001
msm_white_male,cd4n_entry,6.6525e-05
msm_white_male,h1yy_time,-0.050858999999999994
msm_white_male,hcv,0.083861
msm_white_male,intercept,59.082903
msm_white_male,outcare,0.30800700000000003
msm_white_male,smoking,0.25046999999999997
msm_white_male,year,-0.030871
