group,p5,p35,p65,p95
het_black_female,-2.8,0.4,2.5,8.2
het_black_male,-2.0,0.5,2.2,6.75
het_hisp_female,-3.9,0.05,2.0,7.2
het_hisp_male,-2.0,0.5,2.2,6.75
het_white_female,-3.9,0.05,2.0,7.2
het_white_male,-2.0,0.5,2.2,6.75
idu_black_female,-3.7,-0.3,1.9,7.5
idu_black_male,-2.9,-0.25,1.2,4.6
idu_hisp_female,-3.7,-0.3,1.9,7.5
idu_hisp_male,-2.7,-0.15,1.25,5.0
idu_white_female,-3.7,-0.3,1.9,7.5
idu_white_male,-2.7,-0.15,1.25,5.0
msm_black_male,-2.1,0.2,1.7,6.15
msm_hisp_male,-1.8,0.1,1.3,4.65
msm_white_male,-1.8,0.1,1.3,4.65
