group,p5,p35,p65,p95
het_black_female,19.5,26.3,32.2,46.75
het_black_male,20.2,24.7,28.4,37.6
het_hisp_female,19.8,24.9,30.6,45.3
het_hisp_male,20.2,24.7,28.4,37.6
het_white_female,19.8,24.9,30.6,45.3
het_white_male,20.2,24.7,28.4,37.6
idu_black_female,19.75,24.7,28.75,37.9
idu_black_male,19.6,23.7,26.95,34.8
idu_hisp_female,19.75,24.7,28.75,37.9
idu_hisp_male,20.0,23.8,26.9,33.5
idu_white_female,19.75,24.7,28.75,37.9
idu_white_male,20.0,23.8,26.9,33.5
msm_black_male,19.4,23.7,27.4,35.8
msm_hisp_male,20.1,24.1,26.9,34.1
msm_white_male,20.1,24.1,26.9,34.1
