group,param,estimate
het_black_female,age,-0.000611
het_black_female,anx,-0.12078900000000001
het_black_female,bmi_dif1,0.356014
het_black_female,bmi_dif2,-1.366976
het_black_female,bmi_diff,-0.066703
het_black_female,bmi_raw_post,0.049768
het_black_female,bmi_raw_post1,0.041359
het_black_female,bmi_raw_post2,-0.11929100000000001
het_black_female,cd4n_entry,-0.000989
het_black_female,ckd,0.599893
het_black_female,dpr,-0.013119
het_black_female,h1yy_time,-0.045045999999999996
het_black_female,hcv,0.26626700000000003
het_black_female,ht,0.640146
het_black_female,intercept,-165.514428
het_black_female,lipid,0.324378
het_black_female,smoking,0.165492
het_black_female,year,0.079264
het_black_male,age,0.003826
het_black_male,anx,0.21711
het_black_male,bmi_dif1,0.5642229999999999
het_black_male,bmi_dif2,-1.495871
het_black_male,bmi_diff,-0.127578
het_black_male,bmi_raw_post,-0.05114
het_black_male,bmi_raw_post1,0.487566
het_black_male,bmi_raw_post2,-1.232707
het_black_male,cd4n_entry,4.8653e-05
het_black_male,ckd,0.7993779999999999
het_black_male,dpr,0.119771
het_black_male,h1yy_time,-0.026668
het_black_male,hcv,-0.112791
het_black_male,ht,0.657085
het_black_male,intercept,-144.718677
het_black_male,lipid,0.13156099999999998
het_black_male,smoking,0.030897000000000004
het_black_male,year,0.069749
het_hisp_female,age,-0.000611
het_hisp_female,anx,-0.12078900000000001
het_hisp_female,bmi_dif1,0.356014
het_hisp_female,bmi_dif2,-1.366976
het_hisp_female,bmi_diff,-0.066703
het_hisp_female,bmi_raw_post,0.049768
het_hisp_female,bmi_raw_post1,0.041359
het_hisp_female,bmi_raw_post2,-0.11929100000000001
het_hisp_female,cd4n_entry,-0.000989
het_hisp_female,ckd,0.599893
het_hisp_female,dpr,-0.013119
het_hisp_female,h1yy_time,-0.045045999999999996
het_hisp_female,hcv,0.26626700000000003
het_hisp_female,ht,0.640146
het_hisp_female,intercept,-165.514428
het_hisp_female,lipid,0.324378
het_hisp_female,smoking,0.165492
het_hisp_female,year,0.079264
het_hisp_male,age,0.003826
het_hisp_male,anx,0.21711
het_hisp_male,bmi_dif1,0.5642229999999999
het_hisp_male,bmi_dif2,-1.495871
het_hisp_male,bmi_diff,-0.127578
het_hisp_male,bmi_raw_post,-0.05114
het_hisp_male,bmi_raw_post1,0.487566
het_hisp_male,bmi_raw_post2,-1.232707
het_hisp_male,cd4n_entry,4.8653e-05
het_hisp_male,ckd,0.7993779999999999
het_hisp_male,dpr,0.119771
het_hisp_male,h1yy_time,-0.026668
het_hisp_male,hcv,-0.112791
het_hisp_male,ht,0.657085
het_hisp_male,intercept,-144.718677
het_hisp_male,lipid,0.13156099999999998
het_hisp_male,smoking,0.030897000000000004
het_hisp_male,year,0.069749
het_white_female,age,-0.000611
het_white_female,anx,-0.12078900000000001
het_white_female,bmi_dif1,0.356014
het_white_female,bmi_dif2,-1.366976
het_white_female,bmi_diff,-0.066703
het_white_female,bmi_raw_post,0.049768
het_white_female,bmi_raw_post1,0.041359
het_white_female,bmi_raw_post2,-0.11929100000000001
het_white_female,cd4n_entry,-0.000989
het_white_female,ckd,0.599893
het_white_female,dpr,-0.013119
het_white_female,h1yy_time,-0.045045999999999996
het_white_female,hcv,0.26626700000000003
het_white_female,ht,0.640146
het_white_female,intercept,-165.514428
het_white_female,lipid,0.324378
het_white_female,smoking,0.165492
het_white_female,year,0.079264
het_white_male,age,0.003826
het_white_male,anx,0.21711
het_white_male,bmi_dif1,0.5642229999999999
het_white_male,bmi_dif2,-1.495871
het_white_male,bmi_diff,-0.127578
het_white_male,bmi_raw_post,-0.05114
het_white_male,bmi_raw_post1,0.487566
het_white_male,bmi_raw_post2,-1.232707
het_white_male,cd4n_entry,4.8653e-05
het_white_male,ckd,0.7993779999999999
het_white_male,dpr,0.119771
het_white_male,h1yy_time,-0.026668
het_white_male,hcv,-0.112791
het_white_male,ht,0.657085
het_white_male,intercept,-144.718677
het_white_male,lipid,0.13156099999999998
het_white_male,smoking,0.030897000000000004
het_white_male,year,0.069749
idu_black_female,age,-0.000611
idu_black_female,anx,-0.12078900000000001
idu_black_female,bmi_dif1,0.356014
idu_black_female,bmi_dif2,-1.366976
idu_black_female,bmi_diff,-0.066703
idu_black_female,bmi_raw_post,0.049768
idu_black_female,bmi_raw_post1,0.041359
idu_black_female,bmi_raw_post2,-0.11929100000000001
idu_black_female,cd4n_entry,-0.000989
idu_black_female,ckd,0.599893
idu_black_female,dpr,-0.013119
idu_black_female,h1yy_time,-0.045045999999999996
idu_black_female,hcv,0.26626700000000003
idu_black_female,ht,0.640146
idu_black_female,intercept,-165.514428
idu_black_female,lipid,0.324378
idu_black_female,smoking,0.165492
idu_black_female,year,0.079264
idu_black_male,age,0.015113999999999999
idu_black_male,anx,0.352951
idu_black_male,bmi_dif1,0.583571
idu_black_male,bmi_dif2,-2.3659830000000004
idu_black_male,bmi_diff,-0.099137
idu_black_male,bmi_raw_post,-0.184049
idu_black_male,bmi_raw_post1,1.488513
idu_black_male,bmi_raw_post2,-4.390782
idu_black_male,cd4n_entry,0.000212
idu_black_male,ckd,0.09059199999999999
idu_black_male,dpr,0.028547000000000003
idu_black_male,h1yy_time,-0.003951
idu_black_male,hcv,0.22456900000000002
idu_black_male,ht,0.777382
idu_black_male,intercept,-11.368497999999999
idu_black_male,lipid,0.44527799999999995
idu_black_male,smoking,0.42991599999999996
idu_black_male,year,0.004046
idu_hisp_female,age,-0.000611
idu_hisp_female,anx,-0.12078900000000001
idu_hisp_female,bmi_dif1,0.356014
idu_hisp_female,bmi_dif2,-1.366976
idu_hisp_female,bmi_diff,-0.066703
idu_hisp_female,bmi_raw_post,0.049768
idu_hisp_female,bmi_raw_post1,0.041359
idu_hisp_female,bmi_raw_post2,-0.11929100000000001
idu_hisp_female,cd4n_entry,-0.000989
idu_hisp_female,ckd,0.599893
idu_hisp_female,dpr,-0.013119
idu_hisp_female,h1yy_time,-0.045045999999999996
idu_hisp_female,hcv,0.26626700000000003
idu_hisp_female,ht,0.640146
idu_hisp_female,intercept,-165.514428
idu_hisp_female,lipid,0.324378
idu_hisp_female,smoking,0.165492
idu_hisp_female,year,0.079264
idu_hisp_male,age,0.044004
idu_hisp_male,anx,0.149763
idu_hisp_male,bmi_dif1,0.218373
idu_hisp_male,bmi_dif2,-0.936364
idu_hisp_male,bmi_diff,-0.080813
idu_hisp_male,bmi_raw_post,-0.00197
idu_hisp_male,bmi_raw_post1,0.04735
idu_hisp_male,bmi_raw_post2,0.184275
idu_hisp_male,cd4n_entry,-0.000417
idu_hisp_male,ckd,0.33507600000000004
idu_hisp_male,dpr,0.136569
idu_hisp_male,h1yy_time,0.010624
idu_hisp_male,hcv,0.496349
idu_hisp_male,ht,0.722531
idu_hisp_male,intercept,-0.217927
idu_hisp_male,lipid,0.5817640000000001
idu_hisp_male,smoking,0.314633
idu_hisp_male,year,-0.003867
idu_white_female,age,-0.000611
idu_white_female,anx,-0.12078900000000001
idu_white_female,bmi_dif1,0.356014
idu_white_female,bmi_dif2,-1.366976
idu_white_female,bmi_diff,-0.066703
idu_white_female,bmi_raw_post,0.049768
idu_white_female,bmi_raw_post1,0.041359
idu_white_female,bmi_raw_post2,-0.11929100000000001
idu_white_female,cd4n_entry,-0.000989
idu_white_female,ckd,0.599893
idu_white_female,dpr,-0.013119
idu_white_female,h1yy_time,-0.045045999999999996
idu_white_female,hcv,0.26626700000000003
idu_white_female,ht,0.640146
idu_white_female,intercept,-165.514428
idu_white_female,lipid,0.324378
idu_white_female,smoking,0.165492
idu_white_female,year,0.079264
idu_white_male,age,0.044004
idu_white_male,anx,0.149763
idu_white_male,bmi_dif1,0.218373
idu_white_male,bmi_dif2,-0.936364
idu_white_male,bmi_diff,-0.080813
idu_white_male,bmi_raw_post,-0.00197
idu_white_male,bmi_raw_post1,0.04735
idu_white_male,bmi_raw_post2,0.184275
idu_white_male,cd4n_entry,-0.000417
idu_white_male,ckd,0.33507600000000004
idu_white_male,dpr,0.136569
idu_white_male,h1yy_time,0.010624
idu_white_male,hcv,0.496349
idu_white_male,ht,0.722531
idu_white_male,intercept,-0.217927
idu_white_male,lipid,0.5817640000000001
idu_white_male,smoking,0.314633
idu_white_male,year,-0.003867
msm_black_male,age,0.032185000000000005
msm_black_male,anx,0.503843
msm_black_male,bmi_dif1,0.11894500000000001
msm_black_male,bmi_dif2,-0.27505
msm_black_male,bmi_diff,-0.049556
msm_black_male,bmi_raw_post,-0.009534
msm_black_male,bmi_raw_post1,0.391997
msm_black_male,bmi_raw_post2,-0.981195
msm_black_male,cd4n_entry,-0.000849
msm_black_male,ckd,0.341654
msm_black_male,dpr,0.044521
msm_black_male,h1yy_time,-0.007717
msm_black_male,hcv,0.562137
msm_black_male,ht,1.075827
msm_black_male,intercept,-131.785437
msm_black_male,lipid,0.037370999999999995
msm_black_male,smoking,-0.004631000000000001
msm_black_male,year,0.062141999999999996
msm_hisp_male,age,0.031396
msm_hisp_male,anx,0.126589
msm_hisp_male,bmi_dif1,0.125396
msm_hisp_male,bmi_dif2,-0.32478
msm_hisp_male,bmi_diff,0.048505
msm_hisp_male,bmi_raw_post,-0.11936500000000001
msm_hisp_male,bmi_raw_post1,0.6268699999999999
msm_hisp_male,bmi_raw_post2,-1.5624360000000002
msm_hisp_male,cd4n_entry,0.000784
msm_hisp_male,ckd,-0.041981
msm_hisp_male,dpr,-0.043459
msm_hisp_male,h1yy_time,0.0366
msm_hisp_male,hcv,0.619205
msm_hisp_male,ht,0.8241799999999999
msm_hisp_male,intercept,-22.649716
msm_hisp_male,lipid,0.191176
msm_hisp_male,smoking,0.378961
msm_hisp_male,year,0.00856
msm_white_male,age,0.031396
msm_white_male,anx,0.126589
msm_white_male,bmi_dif1,0.125396
msm_white_male,bmi_dif2,-0.32478
msm_white_male,bmi_diff,0.048505
msm_white_male,bmi_raw_post,-0.11936500000000001
msm_white_male,bmi_raw_post1,0.6268699999999999
msm_white_male,bmi_raw_post2,-1.5624360000000002
msm_white_male,cd4n_entry,0.000784
msm_white_male,ckd,-0.041981
msm_white_male,dpr,-0.043459
msm_white_male,h1yy_time,0.0366
msm_white_male,hcv,0.619205
msm_white_male,ht,0.8241799999999999
msm_white_male,intercept,-22.649716
msm_white_male,lipid,0.191176
msm_white_male,smoking,0.378961
msm_white_male,year,0.00856
