group,p5,p35,p65,p95
het_black_male,-2.29,0.25,1.9,6.35
het_hisp_male,-1.3,0.55,2.5125,6.5
het_white_male,-2.02,0.2,1.9,6.09
idu_black_male,-2.8225,-0.2,1.15,4.7725
idu_hisp_male,-2.3,0,1.3,5.15
idu_white_male,-2.3,0,1.3,5.15
msm_black_male,-2,0.115,1.5,5.705
msm_hisp_male,-1.9,0.15,1.3,4.85
msm_white_male,-1.85,0.05,1.25,4.6
het_black_female,-3.0725,0.35,2.4,8.2225
het_hisp_female,-3.7,0.19,2.11,7.2
het_white_female,-3.7,0.19,2.11,7.2
idu_black_female,-3.0725,0.35,2.4,8.2225
idu_hisp_female,-3.7,0.19,2.11,7.2
idu_white_female,-3.7,0.19,2.11,7.2
