group,param,estimate
het_black_female,age,0.033566000000000006
het_black_female,anx,-0.302849
het_black_female,bmi_dif1,0.480919
het_black_female,bmi_dif2,-1.865146
het_black_female,bmi_diff,-0.048526
het_black_female,bmi_raw_post,-0.07965900000000001
het_black_female,bmi_raw_post1,0.530889
het_black_female,bmi_raw_post2,-1.336193
het_black_female,cd4n_entry,3.2833e-05
het_black_female,ckd,0.06816599999999999
het_black_female,dm,0.573856
het_black_female,dpr,0.190183
het_black_female,h1yy_time,-0.037714
het_black_female,hcv,-0.08835599999999999
het_black_female,intercept,286.11652599999996
het_black_female,lipid,-0.009198999999999999
het_black_female,smoking,0.28426399999999996
het_black_female,year,-0.144222
het_black_male,age,0.040485
het_black_male,anx,-0.218336
het_black_male,bmi_dif1,0.40392100000000003
het_black_male,bmi_dif2,-0.438529
het_black_male,bmi_diff,-0.207233
het_black_male,bmi_raw_post,-0.147424
het_black_male,bmi_raw_post1,0.970548
het_black_male,bmi_raw_post2,-2.76748
het_black_male,cd4n_entry,0.000164
het_black_male,ckd,-0.144399
het_black_male,dm,0.287565
het_black_male,dpr,-0.23717199999999997
het_black_male,h1yy_time,-0.10613
het_black_male,hcv,0.144749
het_black_male,intercept,302.942445
het_black_male,lipid,0.220098
het_black_male,smoking,-0.23529099999999997
het_black_male,year,-0.151495
het_hisp_female,age,0.033566000000000006
het_hisp_female,anx,-0.302849
het_hisp_female,bmi_dif1,0.480919
het_hisp_female,bmi_dif2,-1.865146
het_hisp_female,bmi_diff,-0.048526
het_hisp_female,bmi_raw_post,-0.07965900000000001
het_hisp_female,bmi_raw_post1,0.530889
het_hisp_female,bmi_raw_post2,-1.336193
het_hisp_female,cd4n_entry,3.2833e-05
het_hisp_female,ckd,0.06816599999999999
het_hisp_female,dm,0.573856
het_hisp_female,dpr,0.190183
het_hisp_female,h1yy_time,-0.037714
het_hisp_female,hcv,-0.08835599999999999
het_hisp_female,intercept,286.11652599999996
het_hisp_female,lipid,-0.009198999999999999
het_hisp_female,smoking,0.28426399999999996
het_hisp_female,year,-0.144222
het_hisp_male,age,0.022772999999999998
het_hisp_male,anx,0.21110700000000002
het_hisp_male,bmi_dif1,0.414232
het_hisp_male,bmi_dif2,-1.463841
het_hisp_male,bmi_diff,0.0026089999999999998
het_hisp_male,bmi_raw_post,0.34778200000000004
het_hisp_male,bmi_raw_post1,-1.179917
het_hisp_male,bmi_raw_post2,3.114371
het_hisp_male,cd4n_entry,-0.0006230000000000001
het_hisp_male,ckd,0.688164
het_hisp_male,dm,0.8533719999999999
het_hisp_male,dpr,-0.180897
het_hisp_male,h1yy_time,-0.007642
het_hisp_male,hcv,0.5825279999999999
het_hisp_male,intercept,69.59393399999999
het_hisp_male,lipid,0.09696
het_hisp_male,smoking,0.88277
het_hisp_male,year,-0.041427
het_white_female,age,0.033566000000000006
het_white_female,anx,-0.302849
het_white_female,bmi_dif1,0.480919
het_white_female,bmi_dif2,-1.865146
het_white_female,bmi_diff,-0.048526
het_white_female,bmi_raw_post,-0.07965900000000001
het_white_female,bmi_raw_post1,0.530889
het_white_female,bmi_raw_post2,-1.336193
het_white_female,cd4n_entry,3.2833e-05
het_white_female,ckd,0.06816599999999999
het_white_female,dm,0.573856
het_white_female,dpr,0.190183
het_white_female,h1yy_time,-0.037714
het_white_female,hcv,-0.08835599999999999
het_white_female,intercept,286.11652599999996
het_white_female,lipid,-0.009198999999999999
het_white_female,smoking,0.28426399999999996
het_white_female,year,-0.144222
het_white_male,age,0.022772999999999998
het_white_male,anx,0.21110700000000002
het_white_male,bmi_dif1,0.414232
het_white_male,bmi_dif2,-1.463841
het_white_male,bmi_diff,0.0026089999999999998
het_white_male,bmi_raw_post,0.34778200000000004
het_white_male,bmi_raw_post1,-1.179917
het_white_male,bmi_raw_post2,3.114371
het_white_male,cd4n_entry,-0.0006230000000000001
het_white_male,ckd,0.688164
het_white_male,dm,0.8533719999999999
het_white_male,dpr,-0.180897
het_white_male,h1yy_time,-0.007642
het_white_male,hcv,0.5825279999999999
het_white_male,intercept,69.59393399999999
het_white_male,lipid,0.09696
het_white_male,smoking,0.88277
het_white_male,year,-0.041427
idu_black_female,age,0.033566000000000006
idu_black_female,anx,-0.302849
idu_black_female,bmi_dif1,0.480919
idu_black_female,bmi_dif2,-1.865146
idu_black_female,bmi_diff,-0.048526
idu_black_female,bmi_raw_post,-0.07965900000000001
idu_black_female,bmi_raw_post1,0.530889
idu_black_female,bmi_raw_post2,-1.336193
idu_black_female,cd4n_entry,3.2833e-05
idu_black_female,ckd,0.06816599999999999
idu_black_female,dm,0.573856
idu_black_female,dpr,0.190183
idu_black_female,h1yy_time,-0.037714
idu_black_female,hcv,-0.08835599999999999
idu_black_female,intercept,286.11652599999996
idu_black_female,lipid,-0.009198999999999999
idu_black_female,smoking,0.28426399999999996
idu_black_female,year,-0.144222
idu_black_male,age,0.029488
idu_black_male,anx,0.16111
idu_black_male,bmi_dif1,0.10336600000000001
idu_black_male,bmi_dif2,-0.406993
idu_black_male,bmi_diff,-0.071724
idu_black_male,bmi_raw_post,0.17743499999999998
idu_black_male,bmi_raw_post1,-0.41986599999999996
idu_black_male,bmi_raw_post2,0.9992
idu_black_male,cd4n_entry,-0.000436
idu_black_male,ckd,0.604904
idu_black_male,dm,0.85316
idu_black_male,dpr,-0.230238
idu_black_male,h1yy_time,-0.04417
idu_black_male,hcv,0.237619
idu_black_male,intercept,508.330068
idu_black_male,lipid,-0.303666
idu_black_male,smoking,-0.045005
idu_black_male,year,-0.25704499999999997
idu_hisp_female,age,0.033566000000000006
idu_hisp_female,anx,-0.302849
idu_hisp_female,bmi_dif1,0.480919
idu_hisp_female,bmi_dif2,-1.865146
idu_hisp_female,bmi_diff,-0.048526
idu_hisp_female,bmi_raw_post,-0.07965900000000001
idu_hisp_female,bmi_raw_post1,0.530889
idu_hisp_female,bmi_raw_post2,-1.336193
idu_hisp_female,cd4n_entry,3.2833e-05
idu_hisp_female,ckd,0.06816599999999999
idu_hisp_female,dm,0.573856
idu_hisp_female,dpr,0.190183
idu_hisp_female,h1yy_time,-0.037714
idu_hisp_female,hcv,-0.08835599999999999
idu_hisp_female,intercept,286.11652599999996
idu_hisp_female,lipid,-0.009198999999999999
idu_hisp_female,smoking,0.28426399999999996
idu_hisp_female,year,-0.144222
idu_hisp_male,age,0.049382999999999996
idu_hisp_male,anx,0.30457199999999995
idu_hisp_male,bmi_dif1,-0.9092290000000001
idu_hisp_male,bmi_dif2,3.133225
idu_hisp_male,bmi_diff,0.225604
idu_hisp_male,bmi_raw_post,0.176022
idu_hisp_male,bmi_raw_post1,-0.284356
idu_hisp_male,bmi_raw_post2,0.700839
idu_hisp_male,cd4n_entry,-0.000449
idu_hisp_male,ckd,-0.062859
idu_hisp_male,dm,0.548633
idu_hisp_male,dpr,0.166244
idu_hisp_male,h1yy_time,-0.054074000000000004
idu_hisp_male,hcv,0.44688999999999995
idu_hisp_male,intercept,135.60779
idu_hisp_male,lipid,0.558665
idu_hisp_male,smoking,0.034455
idu_hisp_male,year,-0.072421
idu_white_female,age,0.033566000000000006
idu_white_female,anx,-0.302849
idu_white_female,bmi_dif1,0.480919
idu_white_female,bmi_dif2,-1.865146
