group,param,estimate
het_black_female,age,0.027051
het_black_female,anx,0.080648
het_black_female,bmi_dif1,-0.020502
het_black_female,bmi_dif2,-0.526597
het_black_female,bmi_diff,0.122852
het_black_female,bmi_raw_post,-0.0011220000000000002
het_black_female,bmi_raw_post1,-0.122155
het_black_female,bmi_raw_post2,0.315473
het_black_female,cd4n_entry,0.00018700000000000002
het_black_female,ckd,0.591618
het_black_female,dm,0.006638
het_black_female,dpr,0.150196
het_black_female,h1yy_time,-0.07688500000000001
het_black_female,hcv,-0.701124
het_black_female,ht,-0.16793
het_black_female,intercept,107.14792800000001
het_black_female,smoking,-0.12665099999999999
het_black_female,year,-0.055416
het_black_male,age,-0.003242
het_black_male,anx,-0.050011
het_black_male,bmi_dif1,0.19661800000000001
het_black_male,bmi_dif2,-0.655116
het_black_male,bmi_diff,0.082846
het_black_male,bmi_raw_post,-0.11896400000000001
het_black_male,bmi_raw_post1,0.552389
het_black_male,bmi_raw_post2,-1.5372219999999999
het_black_male,cd4n_entry,-0.000584
het_black_male,ckd,-0.017499
het_black_male,dm,-0.239738
het_black_male,dpr,-0.5125770000000001
het_black_male,h1yy_time,-0.141952
het_black_male,hcv,-0.471368
het_black_male,ht,-0.057463
het_black_male,intercept,-23.133594
het_black_male,smoking,-0.214515
het_black_male,year,0.011353
het_hisp_female,age,0.027051
het_hisp_female,anx,0.080648
het_hisp_female,bmi_dif1,-0.020502
het_hisp_female,bmi_dif2,-0.526597
het_hisp_female,bmi_diff,0.122852
het_hisp_female,bmi_raw_post,-0.0011220000000000002
het_hisp_female,bmi_raw_post1,-0.122155
het_hisp_female,bmi_raw_post2,0.315473
het_hisp_female,cd4n_entry,0.00018700000000000002
het_hisp_female,ckd,0.591618
het_hisp_female,dm,0.006638
het_hisp_female,dpr,0.150196
het_hisp_female,h1yy_time,-0.07688500000000001
het_hisp_female,hcv,-0.701124
het_hisp_female,ht,-0.16793
het_hisp_female,intercept,107.14792800000001
het_hisp_female,smoking,-0.12665099999999999
het_hisp_female,year,-0.055416
het_hisp_male,age,-0.003242
het_hisp_male,anx,-0.050011
het_hisp_male,bmi_dif1,0.19661800000000001
