group,param,estimate
het_black_female,age,0.007951
het_black_female,anx,0.135354
het_black_female,bmi_dif1,0.454122
het_black_female,bmi_dif2,-2.439005
het_black_female,bmi_diff,0.084758
het_black_female,bmi_raw_post,-0.086717
het_black_female,bmi_raw_post1,0.35953
het_black_female,bmi_raw_post2,-1.125005
het_black_female,cd4n_entry,-0.000339
het_black_female,ckd,0.310127
het_black_female,dm,1.30021
het_black_female,dpr,0.157002
het_black_female,h1yy_time,0.006759
het_black_female,hcv,1.85503
het_black_female,ht,0.4886
het_black_female,intercept,71.51959699999999
het_black_female,lipid,-0.380965
het_black_female,outcare,0.383393
het_black_female,smoking,0.936889
het_black_female,year,-0.03903
het_black_male,age,0.007951
het_black_male,anx,0.135354
het_black_male,bmi_dif1,0.454122
het_black_male,bmi_dif2,-2.439005
het_black_male,bmi_diff,0.084758
het_black_male,bmi_raw_post,-0.086717
het_black_male,bmi_raw_post1,0.35953
het_black_male,bmi_raw_post2,-1.125005
het_black_male,cd4n_entry,-0.000339
het_black_male,ckd,0.310127
het_black_male,dm,1.30021
het_black_male,dpr,0.157002
het_black_male,h1yy_time,0.006759
het_black_male,hcv,1.85503
het_black_male,ht,0.4886
het_black_male,intercept,71.51959699999999
het_black_male,lipid,-0.380965
het_black_male,outcare,0.383393
het_black_male,smoking,0.936889
het_black_male,year,-0.03903
het_hisp_female,age,0.007951
het_hisp_female,anx,0.135354
het_hisp_female,bmi_dif1,0.454122
het_hisp_female,bmi_dif2,-2.439005
het_hisp_female,bmi_diff,0.084758
het_hisp_female,bmi_raw_post,-0.086717
het_hisp_female,bmi_raw_post1,0.35953
het_hisp_female,bmi_raw_post2,-1.125005
het_hisp_female,cd4n_entry,-0.000339
het_hisp_female,ckd,0.310127
het_hisp_female,dm,1.30021
het_hisp_female,dpr,0.157002
het_hisp_female,h1yy_time,0.006759
het_hisp_female,hcv,1.85503
het_hisp_female,ht,0.4886
het_hisp_female,intercept,71.51959699999999
het_hisp_female,lipid,-0.380965
het_hisp_female,outcare,0.383393
het_hisp_female,smoking,0.936889
het_hisp_female,year,-0.03903
het_hisp_male,age,0.007951
het_hisp_male,anx,0.135354
het_hisp_male,bmi_dif1,0.454122
het_hisp_male,bmi_dif2,-2.439005
het_hisp_male,bmi_diff,0.084758
het_hisp_male,bmi_raw_post,-0.086717
het_hisp_male,bmi_raw_post1,0.35953
het_hisp_male,bmi_raw_post2,-1.125005
het_hisp_male,cd4n_entry,-0.000339
het_hisp_male,ckd,0.310127
het_hisp_male,dm,1.30021
het_hisp_male,dpr,0.157002
het_hisp_male,h1yy_time,0.006759
het_hisp_male,hcv,1.85503
het_hisp_male,ht,0.4886
het_hisp_male,intercept,71.51959699999999
het_hisp_male,lipid,-0.380965
het_hisp_male,outcare,0.383393
het_hisp_male,smoking,0.936889
het_hisp_male,year,-0.03903
het_white_female,age,0.007951
het_white_female,anx,0.135354
het_white_female,bmi_dif1,0.454122
het_white_female,bmi_dif2,-2.439005
het_white_female,bmi_diff,0.084758
het_white_female,bmi_raw_post,-0.086717
het_white_female,bmi_raw_post1,0.35953
het_white_female,bmi_raw_post2,-1.125005
het_white_female,cd4n_entry,-0.000339
het_white_female,ckd,0.310127
het_white_female,dm,1.30021
het_white_female,dpr,0.157002
het_white_female,h1yy_time,0.006759
het_white_female,hcv,1.85503
het_white_female,ht,0.4886
het_white_female,intercept,71.51959699999999
het_white_female,lipid,-0.380965
het_white_female,outcare,0.383393
het_white_female,smoking,0.936889
het_white_female,year,-0.03903
het_white_male,age,0.007951
het_white_male,anx,0.135354
het_white_male,bmi_dif1,0.454122
het_white_male,bmi_dif2,-2.439005
het_white_male,bmi_diff,0.084758
het_white_male,bmi_raw_post,-0.086717
het_white_male,bmi_raw_post1,0.35953
het_white_male,bmi_raw_post2,-1.125005
het_white_male,cd4n_entry,-0.000339
het_white_male,ckd,0.310127
het_white_male,dm,1.30021
het_white_male,dpr,0.157002
het_white_male,h1yy_time,0.006759
het_white_male,hcv,1.85503
het_white_male,ht,0.4886
het_white_male,intercept,71.51959699999999
het_white_male,lipid,-0.380965
het_white_male,outcare,0.383393
het_white_male,smoking,0.936889
het_white_male,year,-0.03903
idu_black_female,age,0.007951
idu_black_female,anx,0.135354
idu_black_female,bmi_dif1,0.454122
idu_black_female,bmi_dif2,-2.439005
idu_black_female,bmi_diff,0.084758
idu_black_female,bmi_raw_post,-0.086717
idu_black_female,bmi_raw_post1,0.35953
idu_black_female,bmi_raw_post2,-1.125005
idu_black_female,cd4n_entry,-0.000339
idu_black_female,ckd,0.310127
idu_black_female,dm,1.30021
idu_black_female,dpr,0.157002
idu_black_female,h1yy_time,0.006759
idu_black_female,hcv,1.85503
idu_black_female,ht,0.4886
idu_black_female,intercept,71.51959699999999
idu_black_female,lipid,-0.380965
idu_black_female,outcare,0.383393
idu_black_female,smoking,0.936889
idu_black_female,year,-0.03903
idu_black_male,age,0.007951
idu_black_male,anx,0.135354
idu_black_male,bmi_dif1,0.454122
