group,param,estimate
het_black_female,age,0.026139999999999997
het_black_female,anx,-0.267876
het_black_female,bmi_dif1,-0.803821
het_black_female,bmi_dif2,2.516712
het_black_female,bmi_diff,0.155531
het_black_female,bmi_raw_post,-0.025064
het_black_female,bmi_raw_post1,0.076278
het_black_female,bmi_raw_post2,-0.403589
het_black_female,cd4n_entry,-0.001841
het_black_female,ckd,0.186531
het_black_female,dm,0.202735
het_black_female,dpr,0.41865600000000003
het_black_female,h1yy_time,-0.044708
het_black_female,hcv,0.5856399999999999
het_black_female,ht,0.49528999999999995
het_black_female,intercept,212.33269900000002
het_black_female,lipid,-0.724321
het_black_female,smoking,-0.301363
het_black_female,year,-0.10772899999999999
het_black_male,age,0.064674
het_black_male,anx,0.450189
het_black_male,bmi_dif1,-0.363433
het_black_male,bmi_dif2,1.429992
het_black_male,bmi_diff,0.038999
het_black_male,bmi_raw_post,-0.11425999999999999
het_black_male,bmi_raw_post1,0.274464
het_black_male,bmi_raw_post2,-0.539047
het_black_male,cd4n_entry,-0.000709
het_black_male,ckd,0.011304
het_black_male,dm,0.580249
het_black_male,dpr,0.222925
het_black_male,h1yy_time,-0.021928
het_black_male,hcv,-0.089178
het_black_male,ht,-0.033974000000000004
het_black_male,intercept,19.331698
het_black_male,lipid,-0.182579
het_black_male,smoking,0.35291300000000003
het_black_male,year,-0.012334
het_hisp_female,age,0.026139999999999997
het_hisp_female,anx,-0.267876
het_hisp_female,bmi_dif1,-0.803821
het_hisp_female,bmi_dif2,2.516712
het_hisp_female,bmi_diff,0.155531
het_hisp_female,bmi_raw_post,-0.025064
het_hisp_female,bmi_raw_post1,0.076278
het_hisp_female,bmi_raw_post2,-0.403589
het_hisp_female,cd4n_entry,-0.001841
het_hisp_female,ckd,0.186531
het_hisp_female,dm,0.202735
het_hisp_female,dpr,0.41865600000000003
het_hisp_female,h1yy_time,-0.044708
het_hisp_female,hcv,0.5856399999999999
het_hisp_female,ht,0.49528999999999995
het_hisp_female,intercept,212.33269900000002
het_hisp_female,lipid,-0.724321
het_hisp_female,smoking,-0.301363
het_hisp_female,year,-0.10772899999999999
het_hisp_male,age,0.064674
het_hisp_male,anx,0.450189
het_hisp_male,bmi_dif1,-0.363433
het_hisp_male,bmi_dif2,1.429992
het_hisp_male,bmi_diff,0.038999
het_hisp_male,bmi_raw_post,-0.11425999999999999
het_hisp_male,bmi_raw_post1,0.274464
het_hisp_male,bmi_raw_post2,-0.539047
het_hisp_male,cd4n_entry,-0.000709
het_hisp_male,ckd,0.011304
het_hisp_male,dm,0.580249
het_hisp_male,dpr,0.222925
het_hisp_male,h1yy_time,-0.021928
het_hisp_male,hcv,-0.089178
het_hisp_male,ht,-0.033974000000000004
het_hisp_male,intercept,19.331698
het_hisp_male,lipid,-0.182579
het_hisp_male,smoking,0.35291300000000003
het_hisp_male,year,-0.012334
het_white_female,age,0.026139999999999997
het_white_female,anx,-0.267876
het_white_female,bmi_dif1,-0.803821
het_white_female,bmi_dif2,2.516712
het_white_female,bmi_diff,0.155531
het_white_female,bmi_raw_post,-0.025064
het_white_female,bmi_raw_post1,0.076278
het_white_female,bmi_raw_post2,-0.403589
het_white_female,cd4n_entry,-0.001841
het_white_female,ckd,0.186531
het_white_female,dm,0.202735
het_white_female,dpr,0.41865600000000003
het_white_female,h1yy_time,-0.044708
het_white_female,hcv,0.5856399999999999
het_white_female,ht,0.49528999999999995
het_white_female,intercept,212.33269900000002
het_white_female,lipid,-0.724321
het_white_female,smoking,-0.301363
het_white_female,year,-0.10772899999999999
het_white_male,age,0.064674
het_white_male,anx,0.450189
het_white_male,bmi_dif1,-0.363433
het_white_male,bmi_dif2,1.429992
het_white_male,bmi_diff,0.038999
het_white_male,bmi_raw_post,-0.11425999999999999
het_white_male,bmi_raw_post1,0.274464
het_white_male,bmi_raw_post2,-0.539047
het_white_male,cd4n_entry,-0.000709
het_white_male,ckd,0.011304
het_white_male,dm,0.580249
het_white_male,dpr,0.222925
het_white_male,h1yy_time,-0.021928
het_white_male,hcv,-0.089178
het_white_male,ht,-0.033974000000000004
het_white_male,intercept,19.331698
het_white_male,lipid,-0.182579
het_white_male,smoking,0.35291300000000003
het_white_male,year,-0.012334
idu_black_female,age,0.026139999999999997
idu_black_female,anx,-0.267876
idu_black_female,bmi_dif1,-0.803821
idu_black_female,bmi_dif2,2.516712
idu_black_female,bmi_diff,0.155531
idu_black_female,bmi_raw_post,-0.025064
idu_black_female,bmi_raw_post1,0.076278
idu_black_female,bmi_raw_post2,-0.403589
idu_black_female,cd4n_entry,-0.001841
idu_black_female,ckd,0.186531
idu_black_female,dm,0.202735
idu_black_female,dpr,0.41865600000000003
idu_black_female,h1yy_time,-0.044708
idu_black_female,hcv,0.5856399999999999
idu_black_female,ht,0.49528999999999995
idu_black_female,intercept,212.33269900000002
idu_black_female,lipid,-0.724321
idu_black_female,smoking,-0.301363
idu_black_female,year,-0.10772899999999999
idu_black_male,age,0.064674
idu_black_male,anx,0.450189
idu_black_male,bmi_dif1,-0.363433
idu_black_male,bmi_dif2,1.429992
idu_black_male,bmi_diff,0.038999
idu_black_male,bmi_raw_post,-0.11425999999999999
idu_black_male,bmi_raw_post1,0.274464
idu_black_male,bmi_raw_post2,-0.539047
idu_black_male,cd4n_entry,-0.000709
idu_black_male,ckd,0.011304
idu_black_male,dm,0.580249
idu_black_male,dpr,0.222925
idu_black_male,h1yy_time,-0.021928
idu_black_male,hcv,-0.089178
idu_black_male,ht,-0.033974000000000004
idu_black_male,intercept,19.331698
idu_black_male,lipid,-0.182579
idu_black_male,smoking,0.35291300000000003
idu_black_male,year,-0.012334
idu_hisp_female,age,0.026139999999999997
idu_hisp_female,anx,-0.267876
idu_hisp_female,bmi_dif1,-0.803821
idu_hisp_female,bmi_dif2,2.516712
idu_hisp_female,bmi_diff,0.155531
idu_hisp_female,bmi_raw_post,-0.025064
idu_hisp_female,bmi_raw_post1,0.076278
idu_hisp_female,bmi_raw_post2,-0.403589
idu_hisp_female,cd4n_entry,-0.001841
idu_hisp_female,ckd,0.186531
idu_hisp_female,dm,0.202735
idu_hisp_female,dpr,0.41865600000000003
idu_hisp_female,h1yy_time,-0.044708
idu_hisp_female,hcv,0.5856399999999999
idu_hisp_female,ht,0.49528999999999995
idu_hisp_female,intercept,212.33269900000002
idu_hisp_female,lipid,-0.724321
idu_hisp_female,smoking,-0.301363
idu_hisp_female,year,-0.10772899999999999
idu_hisp_male,age,0.064674
idu_hisp_male,anx,0.450189
idu_hisp_male,bmi_dif1,-0.363433
idu_hisp_male,bmi_dif2,1.429992
idu_hisp_male,bmi_diff,0.038999
idu_hisp_male,bmi_raw_post,-0.11425999999999999
idu_hisp_male,bmi_raw_post1,0.274464
idu_hisp_male,bmi_raw_post2,-0.539047
idu_hisp_male,cd4n_entry,-0.000709
idu_hisp_male,ckd,0.011304
idu_hisp_male,dm,0.580249
idu_hisp_male,dpr,0.222925
idu_hisp_male,h1yy_time,-0.021928
idu_hisp_male,hcv,-0.089178
idu_hisp_male,ht,-0.033974000000000004
idu_hisp_male,intercept,19.331698
idu_hisp_male,lipid,-0.182579
idu_hisp_male,smoking,0.35291300000000003
idu_hisp_male,year,-0.012334
idu_white_female,age,0.026139999999999997
idu_white_female,anx,-0.267876
idu_white_female,bmi_dif1,-0.803821
idu_white_female,bmi_dif2,2.516712
idu_white_female,bmi_diff,0.155531
idu_white_female,bmi_raw_post,-0.025064
idu_white_female,bmi_raw_post1,0.076278
idu_white_female,bmi_raw_post2,-0.403589
idu_white_female,cd4n_entry,-0.001841
idu_white_female,ckd,0.186531
idu_white_female,dm,0.202735
idu_white_female,dpr,0.41865600000000003
idu_white_female,h1yy_time,-0.044708
idu_white_female,hcv,0.5856399999999999
idu_white_female,ht,0.49528999999999995
idu_white_female,intercept,212.33269900000002
idu_white_female,lipid,-0.724321
idu_white_female,smoking,-0.301363
idu_white_female,year,-0.10772899999999999
idu_white_male,age,0.064674
idu_white_male,anx,0.450189
idu_white_male,bmi_dif1,-0.363433
idu_white_male,bmi_dif2,1.429992
idu_white_male,bmi_diff,0.038999
idu_white_male,bmi_raw_post,-0.11425999999999999
idu_white_male,bmi_raw_post1,0.274464
idu_white_male,bmi_raw_post2,-0.539047
idu_white_male,cd4n_entry,-0.000709
idu_white_male,ckd,0.011304
idu_white_male,dm,0.580249
idu_white_male,dpr,0.222925
idu_white_male,h1yy_time,-0.021928
idu_white_male,hcv,-0.089178
idu_white_male,ht,-0.033974000000000004
idu_white_male,intercept,19.331698
idu_white_male,lipid,-0.182579
idu_white_male,smoking,0.35291300000000003
idu_white_male,year,-0.012334
msm_black_male,age,0.051758000000000005
msm_black_male,anx,0.12118699999999999
msm_black_male,bmi_dif1,0.18471700000000002
msm_black_male,bmi_dif2,-0.40408099999999997
msm_black_male,bmi_diff,-0.062974
msm_black_male,bmi_raw_post,-0.114356
msm_black_male,bmi_raw_post1,0.179206
msm_black_male,bmi_raw_post2,-0.287197
msm_black_male,cd4n_entry,-0.000608
msm_black_male,ckd,-0.06095
msm_black_male,dm,0.919091
msm_black_male,dpr,-0.07524700000000001
msm_black_male,h1yy_time,-0.007281
msm_black_male,hcv,-0.061314
msm_black_male,ht,-0.166682
msm_black_male,intercept,137.344977
msm_black_male,lipid,0.006998000000000001
msm_black_male,smoking,0.485046
msm_black_male,year,-0.070664
msm_hisp_male,age,0.051758000000000005
msm_hisp_male,anx,0.12118699999999999
msm_hisp_male,bmi_dif1,0.18471700000000002
msm_hisp_male,bmi_dif2,-0.40408099999999997
msm_hisp_male,bmi_diff,-0.062974
msm_hisp_male,bmi_raw_post,-0.114356
msm_hisp_male,bmi_raw_post1,0.179206
msm_hisp_male,bmi_raw_post2,-0.287197
msm_hisp_male,cd4n_entry,-0.000608
msm_hisp_male,ckd,-0.06095
msm_hisp_male,dm,0.919091
msm_hisp_male,dpr,-0.07524700000000001
msm_hisp_male,h1yy_time,-0.007281
msm_hisp_male,hcv,-0.061314
msm_hisp_male,ht,-0.166682
msm_hisp_male,intercept,137.344977
msm_hisp_male,lipid,0.006998000000000001
msm_hisp_male,smoking,0.485046
msm_hisp_male,year,-0.070664
msm_white_male,age,0.051758000000000005
msm_white_male,anx,0.12118699999999999
msm_white_male,bmi_dif1,0.18471700000000002
msm_white_male,bmi_dif2,-0.40408099999999997
msm_white_male,bmi_diff,-0.062974
msm_white_male,bmi_raw_post,-0.114356
msm_white_male,bmi_raw_post1,0.179206
msm_white_male,bmi_raw_post2,-0.287197
msm_white_male,cd4n_entry,-0.000608
msm_white_male,ckd,-0.06095
msm_white_male,dm,0.919091
msm_white_male,dpr,-0.07524700000000001
msm_white_male,h1yy_time,-0.007281
msm_white_male,hcv,-0.061314
msm_white_male,ht,-0.166682
msm_white_male,intercept,137.344977
msm_white_male,lipid,0.006998000000000001
msm_white_male,smoking,0.485046
msm_white_male,year,-0.070664
