group,param,estimate
het_black_female,age,0.047648
het_black_female,anx,0.341163
het_black_female,bmi_dif1,-0.061377999999999995
het_black_female,bmi_dif2,0.21586599999999997
het_black_female,bmi_diff,0.004640999999999999
het_black_female,bmi_raw_post,-0.10640699999999999
het_black_female,bmi_raw_post1,0.45998100000000003
het_black_female,bmi_raw_post2,-1.2050100000000001
het_black_female,cd4n_entry,0.000354
het_black_female,ckd,-0.47658999999999996
het_black_female,dm,0.929859
het_black_female,dpr,0.364978
het_black_female,h1yy_time,0.086661
het_black_female,hcv,-0.031372000000000004
het_black_female,ht,1.130895
het_black_female,intercept,-58.686025
het_black_female,lipid,0.08212699999999999
het_black_female,outcare,0.48935100000000004
het_black_female,smoking,0.379651
het_black_female,year,0.02512
het_black_male,age,0.047648
het_black_male,anx,0.341163
het_black_male,bmi_dif1,-0.061377999999999995
het_black_male,bmi_dif2,0.21586599999999997
het_black_male,bmi_diff,0.004640999999999999
het_black_male,bmi_raw_post,-0.10640699999999999
het_black_male,bmi_raw_post1,0.45998100000000003
het_black_male,bmi_raw_post2,-1.2050100000000001
het_black_male,cd4n_entry,0.000354
het_black_male,ckd,-0.47658999999999996
het_black_male,dm,0.929859
het_black_male,dpr,0.364978
het_black_male,h1yy_time,0.086661
het_black_male,hcv,-0.031372000000000004
het_black_male,ht,1.130895
het_black_male,intercept,-58.686025
het_black_male,lipid,0.08212699999999999
het_black_male,outcare,0.48935100000000004
het_black_male,smoking,0.379651
het_black_male,year,0.02512
het_hisp_female,age,0.047648
het_hisp_female,anx,0.341163
het_hisp_female,bmi_dif1,-0.061377999999999995
het_hisp_female,bmi_dif2,0.21586599999999997
het_hisp_female,bmi_diff,0.004640999999999999
het_hisp_female,bmi_raw_post,-0.10640699999999999
het_hisp_female,bmi_raw_post1,0.45998100000000003
het_hisp_female,bmi_raw_post2,-1.2050100000000001
het_hisp_female,cd4n_entry,0.000354
het_hisp_female,ckd,-0.47658999999999996
het_hisp_female,dm,0.929859
het_hisp_female,dpr,0.364978
het_hisp_female,h1yy_time,0.086661
het_hisp_female,hcv,-0.031372000000000004
het_hisp_female,ht,1.130895
het_hisp_female,intercept,-58.686025
het_hisp_female,lipid,0.08212699999999999
het_hisp_female,outcare,0.48935100000000004
het_hisp_female,smoking,0.379651
het_hisp_female,year,0.02512
het_hisp_male,age,0.047648
het_hisp_male,anx,0.341163
het_hisp_male,bmi_dif1,-0.061377999999999995
het_hisp_male,bmi_dif2,0.21586599999999997
het_hisp_male,bmi_diff,0.004640999999999999
het_hisp_male,bmi_raw_post,-0.10640699999999999
het_hisp_male,bmi_raw_post1,0.45998100000000003
het_hisp_male,bmi_raw_post2,-1.2050100000000001
het_hisp_male,cd4n_entry,0.000354
het_hisp_male,ckd,-0.47658999999999996
het_hisp_male,dm,0.929859
het_hisp_male,dpr,0.364978
het_hisp_male,h1yy_time,0.086661
het_hisp_male,hcv,-0.031372000000000004
het_hisp_male,ht,1.130895
het_hisp_male,intercept,-58.686025
het_hisp_male,lipid,0.08212699999999999
het_hisp_male,outcare,0.48935100000000004
het_hisp_male,smoking,0.379651
het_hisp_male,year,0.02512
het_white_female,age,0.047648
het_white_female,anx,0.341163
het_white_female,bmi_dif1,-0.061377999999999995
het_white_female,bmi_dif2,0.21586599999999997
het_white_female,bmi_diff,0.004640999999999999
het_white_female,bmi_raw_post,-0.10640699999999999
het_white_female,bmi_raw_post1,0.45998100000000003
het_white_female,bmi_raw_post2,-1.2050100000000001
het_white_female,cd4n_entry,0.000354
het_white_female,ckd,-0.47658999999999996
het_white_female,dm,0.929859
het_white_female,dpr,0.364978
het_white_female,h1yy_time,0.086661
het_white_female,hcv,-0.031372000000000004
het_white_female,ht,1.130895
het_white_female,intercept,-58.686025
het_white_female,lipid,0.08212699999999999
het_white_female,outcare,0.48935100000000004
