group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
het_hisp_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
het_white_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
idu_black_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
idu_hisp_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
idu_white_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
msm_black_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
msm_hisp_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
msm_white_male,176.8719,-0.0905,0.0116,0.0993,-0.4495,-0.0088,-0.0972,0.5476,-0.1711,-0.2572
het_black_female,107.7122,-0.0559,0.0163,0.032,-0.0861,-0.0191,-0.1225,0.8605,-0.0093,-0.2608
het_hisp_female,107.7122,-0.0559,0.0163,0.032,-0.0861,-0.0191,-0.1225,0.8605,-0.0093,-0.2608
het_white_female,107.7122,-0.0559,0.0163,0.032,-0.0861,-0.0191,-0.1225,0.8605,-0.0093,-0.2608
idu_black_female,107.7122,-0.0559,0.0163,0.032,-0.0861,-0.0191,-0.1225,0.8605,-0.0093,-0.2608
idu_hisp_female,107.7122,-0.0559,0.0163,0.032,-0.0861,-0.0191,-0.1225,0.8605,-0.0093,-0.2608
idu_white_female,107.7122,-0.0559,0.0163,0.032,-0.0861,-0.0191,-0.1225,0.8605,-0.0093,-0.2608
