group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_female,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
het_black_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
het_hisp_female,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
het_hisp_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
het_white_female,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
het_white_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
idu_black_female,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
idu_black_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
idu_hisp_female,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
idu_hisp_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
idu_white_female,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
idu_white_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
msm_black_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
msm_hisp_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
msm_white_male,164.5323,-0.0843,0.0118,0.0874,-0.4135,-0.0109,-0.1018,0.6075,-0.1448,-0.2695
