group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
het_hisp_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
het_white_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
idu_black_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
idu_hisp_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
idu_white_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
msm_black_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
msm_hisp_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
msm_white_male,121.2184,-0.0621,0.0317,0.0846,-0.3875,-0.1609,0.0767,0.0601
het_black_female,51.4782,-0.0269,0.018,0.0872,-0.3244,-0.1836,0.1264,-0.2246
het_hisp_female,51.4782,-0.0269,0.018,0.0872,-0.3244,-0.1836,0.1264,-0.2246
het_white_female,51.4782,-0.0269,0.018,0.0872,-0.3244,-0.1836,0.1264,-0.2246
idu_black_female,51.4782,-0.0269,0.018,0.0872,-0.3244,-0.1836,0.1264,-0.2246
idu_hisp_female,51.4782,-0.0269,0.018,0.0872,-0.3244,-0.1836,0.1264,-0.2246
idu_white_female,51.4782,-0.0269,0.018,0.0872,-0.3244,-0.1836,0.1264,-0.2246
