group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,151.7823,-0.0771,0.0174,0.0942,-0.4922,-0.1546,0.0705,0.074
idu_black_male,151.7823,-0.0771,0.0174,0.0942,-0.4922,-0.1546,0.0705,0.074
msm_black_male,151.7823,-0.0771,0.0174,0.0942,-0.4922,-0.1546,0.0705,0.074
het_hisp_male,73.9376,-0.0381,-0.0062,0.242,-0.7972,-0.1715,0.0662,0.1634
idu_hisp_male,73.9376,-0.0381,-0.0062,0.242,-0.7972,-0.1715,0.0662,0.1634
msm_hisp_male,73.9376,-0.0381,-0.0062,0.242,-0.7972,-0.1715,0.0662,0.1634
het_white_male,99.9012,-0.0514,0.0436,0.0442,-0.2655,-0.1756,0.1164,-0.1253
idu_white_male,99.9012,-0.0514,0.0436,0.0442,-0.2655,-0.1756,0.1164,-0.1253
msm_white_male,99.9012,-0.0514,0.0436,0.0442,-0.2655,-0.1756,0.1164,-0.1253
het_black_female,87.756,-0.0449,0.0097,0.0902,-0.3015,-0.1788,0.0923,0.0449
idu_black_female,87.756,-0.0449,0.0097,0.0902,-0.3015,-0.1788,0.0923,0.0449
het_hisp_female,-21.2296,0.009,0.037,0.068,-0.3003,-0.1976,0.2022,-0.8053
het_white_female,-21.2296,0.009,0.037,0.068,-0.3003,-0.1976,0.2022,-0.8053
idu_hisp_female,-21.2296,0.009,0.037,0.068,-0.3003,-0.1976,0.2022,-0.8053
idu_white_female,-21.2296,0.009,0.037,0.068,-0.3003,-0.1976,0.2022,-0.8053
