group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_female,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
het_black_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
het_hisp_female,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
het_hisp_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
het_white_female,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
het_white_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
idu_black_female,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
idu_black_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
idu_hisp_female,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
idu_hisp_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
idu_white_female,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
idu_white_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
msm_black_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
msm_hisp_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
msm_white_male,111.2902,-0.057,0.0283,0.085,-0.4125,-0.1652,0.0869,-0.0033
