group,1,2,3,4
het_black_female,10.099504937999999,20.124611797,25.059928172,33.015148038
het_black_male,10.099504937999999,20.124611797,25.059928172,33.015148038
het_hisp_female,10.099504937999999,20.124611797,25.059928172,33.015148038
het_hisp_male,10.099504937999999,20.124611797,25.059928172,33.015148038
het_white_female,10.099504937999999,20.124611797,25.059928172,33.015148038
het_white_male,10.099504937999999,20.124611797,25.059928172,33.015148038
idu_black_female,10.099504937999999,20.124611797,25.059928172,33.015148038
idu_black_male,10.099504937999999,20.124611797,25.059928172,33.015148038
idu_hisp_female,10.099504937999999,20.124611797,25.059928172,33.015148038
idu_hisp_male,10.099504937999999,20.124611797,25.059928172,33.015148038
idu_white_female,10.099504937999999,20.124611797,25.059928172,33.015148038
idu_white_male,10.099504937999999,20.124611797,25.059928172,33.015148038
msm_black_male,10.099504937999999,20.124611797,25.059928172,33.015148038
msm_hisp_male,10.099504937999999,20.124611797,25.059928172,33.015148038
msm_white_male,10.099504937999999,20.124611797,25.059928172,33.015148038
