group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
het_hisp_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
het_white_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
idu_black_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
idu_hisp_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
idu_white_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
msm_black_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
msm_hisp_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
msm_white_male,162.1478,-0.0832,0.0143,0.0981,-0.4546,-0.0056,-0.1055,0.5835,-0.1868,-0.3351
het_black_female,178.6713,-0.0912,0.0201,0.0109,0.0085,-0.0224,-0.1144,0.8082,0.0029,-0.0582
het_hisp_female,178.6713,-0.0912,0.0201,0.0109,0.0085,-0.0224,-0.1144,0.8082,0.0029,-0.0582
het_white_female,178.6713,-0.0912,0.0201,0.0109,0.0085,-0.0224,-0.1144,0.8082,0.0029,-0.0582
idu_black_female,178.6713,-0.0912,0.0201,0.0109,0.0085,-0.0224,-0.1144,0.8082,0.0029,-0.0582
idu_hisp_female,178.6713,-0.0912,0.0201,0.0109,0.0085,-0.0224,-0.1144,0.8082,0.0029,-0.0582
idu_white_female,178.6713,-0.0912,0.0201,0.0109,0.0085,-0.0224,-0.1144,0.8082,0.0029,-0.0582
