group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_female,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
het_black_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
het_hisp_female,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
het_hisp_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
het_white_female,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
het_white_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
idu_black_female,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
idu_black_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
idu_hisp_female,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
idu_hisp_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
idu_white_female,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
idu_white_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
msm_black_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
msm_hisp_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
msm_white_male,164.9229,-0.0845,0.0135,0.0855,-0.4084,-0.0088,-0.1063,0.6282,-0.1579,-0.2922
