group,1,2,3,4
het_black_female,3.6055512755000003,13.784048752,18.439088915,26.814175356
het_black_male,3.8729833462,13.490737563,18.601075238,26.589471601
het_hisp_female,3.6055512755000003,13.784048752,18.439088915,26.814175356
het_hisp_male,3.8729833462,13.490737563,18.601075238,26.589471601
het_white_female,3.6055512755000003,13.784048752,18.439088915,26.814175356
het_white_male,3.8729833462,13.490737563,18.601075238,26.589471601
idu_black_female,3.6055512755000003,13.784048752,18.439088915,26.814175356
idu_black_male,3.8729833462,13.490737563,18.601075238,26.589471601
idu_hisp_female,3.6055512755000003,13.784048752,18.439088915,26.814175356
idu_hisp_male,3.8729833462,13.490737563,18.601075238,26.589471601
idu_white_female,3.6055512755000003,13.784048752,18.439088915,26.814175356
idu_white_male,3.8729833462,13.490737563,18.601075238,26.589471601
msm_black_male,3.8729833462,13.490737563,18.601075238,26.589471601
msm_hisp_male,3.8729833462,13.490737563,18.601075238,26.589471601
msm_white_male,3.8729833462,13.490737563,18.601075238,26.589471601
