group,1,2,3,4
het_black_female,3.3166247904,13.527749258,18.303005218,26.551836095
het_black_male,2.8284271247,10.95445115,17.146428199000002,25.199198525
het_hisp_female,4.582575695,14.422205102000001,18.894443628,27.258026341
het_hisp_male,3.1622776602,10.488088482,16.462077633,25.099800796
het_white_female,4.582575695,14.422205102000001,18.894443628,27.258026341
het_white_male,3.1622776602,10.488088482,16.462077633,25.099800796
idu_black_female,3.3166247904,13.892443989,18.303005218,26.664583251999996
idu_black_male,3.6055512755000003,13.228756555,17.916472867,26.191601706999997
idu_hisp_female,3.3166247904,13.892443989,18.303005218,26.664583251999996
idu_hisp_male,4.472135955,13.638181697,18.193405399,25.553864678000004
idu_white_female,3.3166247904,13.892443989,18.303005218,26.664583251999996
idu_white_male,4.472135955,14.247806849000002,18.920887928,26.664583251999996
msm_black_male,3.3166247904,13.490737563,18.814887722,26.438608133000002
msm_hisp_male,4.472135955,13.747727085,18.520259177,26.115129714000002
msm_white_male,5.0,14.730919862999999,19.467922334,27.531799795999998
