group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
het_hisp_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
het_white_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
idu_black_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
idu_hisp_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
idu_white_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
msm_black_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
msm_hisp_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
msm_white_male,114.7907,-0.0589,0.0326,0.0877,-0.4085,-0.1614,0.0636,0.1341
het_black_female,99.8317,-0.051,0.0246,0.06,-0.2273,-0.1899,0.1345,-0.2236
het_hisp_female,99.8317,-0.051,0.0246,0.06,-0.2273,-0.1899,0.1345,-0.2236
het_white_female,99.8317,-0.051,0.0246,0.06,-0.2273,-0.1899,0.1345,-0.2236
idu_black_female,99.8317,-0.051,0.0246,0.06,-0.2273,-0.1899,0.1345,-0.2236
idu_hisp_female,99.8317,-0.051,0.0246,0.06,-0.2273,-0.1899,0.1345,-0.2236
idu_white_female,99.8317,-0.051,0.0246,0.06,-0.2273,-0.1899,0.1345,-0.2236
