group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_male,146.5756,-0.0747,0.0271,0.0886,-0.4497,-0.1546,0.0637,0.0888
idu_black_male,146.5756,-0.0747,0.0271,0.0886,-0.4497,-0.1546,0.0637,0.0888
msm_black_male,146.5756,-0.0747,0.0271,0.0886,-0.4497,-0.1546,0.0637,0.0888
het_hisp_male,132.8859,-0.0674,-0.0064,0.2459,-0.8182,-0.1761,0.0864,-0.0531
idu_hisp_male,132.8859,-0.0674,-0.0064,0.2459,-0.8182,-0.1761,0.0864,-0.0531
msm_hisp_male,132.8859,-0.0674,-0.0064,0.2459,-0.8182,-0.1761,0.0864,-0.0531
het_white_male,72.9922,-0.0378,0.0331,0.0696,-0.3414,-0.178,0.0943,0.048
idu_white_male,72.9922,-0.0378,0.0331,0.0696,-0.3414,-0.178,0.0943,0.048
msm_white_male,72.9922,-0.0378,0.0331,0.0696,-0.3414,-0.178,0.0943,0.048
het_black_female,148.4742,-0.0752,0.0217,0.0588,-0.1952,-0.1854,0.1086,-0.0368
idu_black_female,148.4742,-0.0752,0.0217,0.0588,-0.1952,-0.1854,0.1086,-0.0368
het_hisp_female,10.6151,-0.0066,0.0274,0.0687,-0.3028,-0.2044,0.1951,-0.6355
het_white_female,10.6151,-0.0066,0.0274,0.0687,-0.3028,-0.2044,0.1951,-0.6355
idu_hisp_female,10.6151,-0.0066,0.0274,0.0687,-0.3028,-0.2044,0.1951,-0.6355
idu_white_female,10.6151,-0.0066,0.0274,0.0687,-0.3028,-0.2044,0.1951,-0.6355
