group,intercept,year,age,age1,age2,tv_sqrtcd4n,tv_sqrtcd4n1,tv_sqrtcd4n2
het_black_female,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
het_black_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
het_hisp_female,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
het_hisp_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
het_white_female,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
het_white_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
idu_black_female,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
idu_black_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
idu_hisp_female,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
idu_hisp_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
idu_white_female,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
idu_white_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
msm_black_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
msm_hisp_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
msm_white_male,112.8829,-0.0578,0.0289,0.0866,-0.4221,-0.1667,0.0772,0.0588
