group,intercept,year,age,age1,age2,sqrtcd4n,sqrtcd41,sqrtcd42,h1yy_cat_1,h1yy_cat_2
het_black_female,252.6654,-0.1275,0.0054,0.0003,0.1147,-0.0649,-0.0451,0.4533,-0.2225,0.0822
het_black_male,24.6566,-0.0145,0.0068,0.0243,0.0159,0.034,-0.2917,1.1038,-0.1977,-1.0387
het_hisp_female,180.3799,-0.0941,0.1354,-0.248,0.7829,-0.0738,0.0061,0.3056,0.5149,-0.0263
het_hisp_male,108.271,-0.0564,0.0203,0.0384,-0.0312,-0.0495,0.0738,-0.3605,-0.1795,0.1515
het_white_female,180.3799,-0.0941,0.1354,-0.248,0.7829,-0.0738,0.0061,0.3056,0.5149,-0.0263
het_white_male,108.271,-0.0564,0.0203,0.0384,-0.0312,-0.0495,0.0738,-0.3605,-0.1795,0.1515
idu_black_female,-11.1764,0.0039,-0.0253,0.0538,-0.1081,0.1216,-0.3655,2.0336,0.0069,-0.2938
idu_black_male,252.8008,-0.1282,0.0304,0.1076,-0.5997,-0.0318,-0.0003,0.0912,-0.1382,-0.5397
idu_hisp_female,-11.1764,0.0039,-0.0253,0.0538,-0.1081,0.1216,-0.3655,2.0336,0.0069,-0.2938
idu_hisp_male,186.7299,-0.0951,0.0052,0.0921,-0.5029,0.0161,-0.0603,0.3116,-0.3333,0.1996
idu_white_female,-11.1764,0.0039,-0.0253,0.0538,-0.1081,0.1216,-0.3655,2.0336,0.0069,-0.2938
idu_white_male,107.9323,-0.056,0.0083,0.1337,-0.8893,0.0259,-0.1817,1.079,-0.3347,-0.0458
msm_black_male,88.8015,-0.0469,0.0431,-0.0555,0.1633,-0.0211,-0.0903,0.5771,-0.5959,-0.726
msm_hisp_male,96.059,-0.0508,-0.0007,0.1925,-0.6766,0.0156,-0.167,0.857,0.1039,-0.8649
msm_white_male,136.595,-0.0707,0.0221,0.0555,-0.332,-0.0022,-0.1905,1.189,-0.0438,-0.1769
