group,1,2,3,4
het_black_female,9.1104335791,20.199009877,25.583197611,34.13942003
het_black_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
het_hisp_female,9.1104335791,20.199009877,25.583197611,34.13942003
het_hisp_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
het_white_female,9.1104335791,20.199009877,25.583197611,34.13942003
het_white_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
idu_black_female,9.1104335791,20.199009877,25.583197611,34.13942003
idu_black_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
idu_hisp_female,9.1104335791,20.199009877,25.583197611,34.13942003
idu_hisp_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
idu_white_female,9.1104335791,20.199009877,25.583197611,34.13942003
idu_white_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
msm_black_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
msm_hisp_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
msm_white_male,9.8994949366,19.710403344,24.535688293000003,32.233522923
