group,1,2,3,4
het_black_female,8.6890735985,19.974984355,25.357444666,34.014702703000005
het_black_male,8.3066238629,18.694919096,23.685438565,31.527765540999997
het_hisp_female,9.7724101428,20.627651345,25.961509970999998,34.402034824
het_hisp_male,9.8994949366,19.209372712,23.895606291,31.288975694
het_white_female,9.7724101428,20.627651345,25.961509970999998,34.402034824
het_white_male,11.618950039000001,20.880613018,25.475478406,33.03028913
idu_black_female,8.6890735985,19.974984355,25.357444666,34.014702703000005
idu_black_male,8.3066238629,18.694919096,23.685438565,31.527765540999997
idu_hisp_female,9.7724101428,20.627651345,25.961509970999998,34.402034824
idu_hisp_male,9.8994949366,19.209372712,23.895606291,31.288975694
idu_white_female,9.7724101428,20.627651345,25.961509970999998,34.402034824
idu_white_male,11.618950039000001,20.880613018,25.475478406,33.03028913
msm_black_male,8.3066238629,18.694919096,23.685438565,31.527765540999997
msm_hisp_male,9.8994949366,19.209372712,23.895606291,31.288975694
msm_white_male,11.618950039000001,20.880613018,25.475478406,33.03028913
