group,1,2,3,4
het_black_female,9.7467943448,19.798989873,24.718414189,32.634337744
het_black_male,9.7467943448,19.798989873,24.718414189,32.634337744
het_hisp_female,9.7467943448,19.798989873,24.718414189,32.634337744
het_hisp_male,9.7467943448,19.798989873,24.718414189,32.634337744
het_white_female,9.7467943448,19.798989873,24.718414189,32.634337744
het_white_male,9.7467943448,19.798989873,24.718414189,32.634337744
idu_black_female,9.7467943448,19.798989873,24.718414189,32.634337744
idu_black_male,9.7467943448,19.798989873,24.718414189,32.634337744
idu_hisp_female,9.7467943448,19.798989873,24.718414189,32.634337744
idu_hisp_male,9.7467943448,19.798989873,24.718414189,32.634337744
idu_white_female,9.7467943448,19.798989873,24.718414189,32.634337744
idu_white_male,9.7467943448,19.798989873,24.718414189,32.634337744
msm_black_male,9.7467943448,19.798989873,24.718414189,32.634337744
msm_hisp_male,9.7467943448,19.798989873,24.718414189,32.634337744
msm_white_male,9.7467943448,19.798989873,24.718414189,32.634337744
